Source,Destination,Operator,Distance (Kms),Duration,Bus Type,Departure,Arrival,Bus Price,Bus Arrival Date
Thiruvananthapuram,Vijayawada,Parveen Travels,1714,15:26,Non-AC Sleeper,00:39,16:05,Moderate,2025-03-20
Pune,Jaipur,RedBus,814,11:22,Luxury Coach,21:50,09:12,Moderate,2025-04-19
Patna,Madurai,RedBus,1594,13:49,AC Sleeper,21:36,11:25,Cheap,2025-03-10
Coimbatore,Lucknow,RedBus,695,19:21,Luxury Coach,01:36,20:57,Cheap,2025-03-24
Ahmedabad,Jodhpur,KSRTC,958,10:55,Semi-Sleeper,01:48,12:43,Luxury,2025-04-02
Bhubaneswar,Ahmedabad,GreenLine Travels,248,19:01,Semi-Sleeper,19:11,14:12,Moderate,2025-04-09
Amritsar,Shimla,Parveen Travels,486,18:56,Semi-Sleeper,22:05,17:01,Cheap,2025-03-03
Delhi,Lucknow,GreenLine Travels,1103,3:58,AC Sleeper,01:32,05:30,Cheap,2025-03-23
Jamshedpur,Pune,KSRTC,1564,9:19,Luxury Coach,08:46,18:05,Moderate,2025-04-11
Jaipur,Shimla,VRL Travels,1858,17:39,Express,10:11,03:50,Cheap,2025-03-15
Bhubaneswar,Nagpur,KSRTC,1198,5:03,Express,16:28,21:31,Cheap,2025-03-18
Lucknow,Madurai,KSRTC,405,16:17,Express,08:46,01:03,Luxury,2025-03-22
Dehradun,Jamshedpur,Parveen Travels,198,9:12,Semi-Sleeper,13:27,22:39,Cheap,2025-04-05
Nagpur,Nashik,GreenLine Travels,410,23:24,Luxury Coach,17:40,17:04,Moderate,2025-03-21
Kanpur,Bangalore,GreenLine Travels,913,5:37,Express,10:43,16:20,Luxury,2025-02-26
Bhopal,Dehradun,Parveen Travels,1692,11:32,Volvo,11:21,22:53,Cheap,2025-03-25
Kanpur,Ranchi,GreenLine Travels,862,8:04,AC Sleeper,15:32,23:36,Cheap,2025-02-28
Pune,Coimbatore,GreenLine Travels,1221,16:15,Non-AC Sleeper,14:33,06:48,Cheap,2025-04-04
Jamshedpur,Amritsar,VRL Travels,1931,7:28,AC Sleeper,06:31,13:59,Luxury,2025-03-08
Shimla,Madurai,SRS Travels,1142,13:22,Volvo,18:49,08:11,Luxury,2025-04-12
Aurangabad,Raipur,Parveen Travels,110,24:34,AC Sleeper,23:12,23:46,Moderate,2025-04-19
Indore,Thiruvananthapuram,GreenLine Travels,151,5:40,Volvo,21:47,03:27,Cheap,2025-04-08
Delhi,Jodhpur,GreenLine Travels,707,8:18,AC Sleeper,10:37,18:55,Cheap,2025-04-18
Udaipur,Agra,TNSTC,1114,22:37,Luxury Coach,04:49,03:26,Cheap,2025-04-08
Bhubaneswar,Mumbai,TNSTC,1432,18:45,Luxury Coach,22:12,16:57,Moderate,2025-04-05
Indore,Chennai,Parveen Travels,1836,24:48,Express,14:07,14:55,Cheap,2025-03-26
Bhubaneswar,Shimla,RedBus,1844,6:08,Luxury Coach,06:11,12:19,Cheap,2025-03-04
Raipur,Vadodara,RedBus,912,19:17,Luxury Coach,18:28,13:45,Luxury,2025-03-17
Chennai,Chandigarh,GreenLine Travels,1771,4:39,Non-AC Sleeper,14:09,18:48,Moderate,2025-03-07
Jodhpur,Ahmedabad,Parveen Travels,1532,10:18,AC Sleeper,00:46,11:04,Luxury,2025-04-12
Chennai,Kanpur,RedBus,1043,4:17,Semi-Sleeper,23:13,03:30,Moderate,2025-03-12
Jamshedpur,Vadodara,VRL Travels,1329,10:07,AC Sleeper,09:22,19:29,Luxury,2025-03-26
Varanasi,Indore,Parveen Travels,355,9:04,AC Sleeper,16:49,01:53,Luxury,2025-03-19
Patna,Delhi,RedBus,127,9:08,AC Sleeper,01:30,10:38,Luxury,2025-03-27
Visakhapatnam,Guwahati,VRL Travels,455,23:02,Express,18:42,17:44,Cheap,2025-03-26
Varanasi,Mysore,RedBus,457,10:59,AC Sleeper,22:22,09:21,Cheap,2025-03-05
Jodhpur,Chennai,Parveen Travels,1497,23:31,Semi-Sleeper,23:03,22:34,Moderate,2025-03-31
Mysore,Vijayawada,RedBus,1941,24:45,Express,02:40,03:25,Moderate,2025-02-26
Chandigarh,Mumbai,RedBus,1344,11:21,Semi-Sleeper,07:53,19:14,Cheap,2025-03-21
Agra,Amritsar,TNSTC,572,11:48,Volvo,05:25,17:13,Cheap,2025-03-11
Nagpur,Bhubaneswar,KSRTC,310,12:54,AC Sleeper,02:18,15:12,Cheap,2025-03-27
Kanpur,Delhi,GreenLine Travels,938,14:39,Volvo,19:00,09:39,Cheap,2025-03-20
Jodhpur,Surat,GreenLine Travels,1884,7:00,Luxury Coach,23:12,06:12,Moderate,2025-03-26
Pune,Hyderabad,SRS Travels,1187,9:34,Volvo,20:29,06:03,Moderate,2025-04-09
Kolkata,Amritsar,VRL Travels,850,19:59,Express,15:41,11:40,Moderate,2025-03-01
Indore,Vadodara,Parveen Travels,1818,10:20,Luxury Coach,05:13,15:33,Moderate,2025-03-31
Kolkata,Bangalore,VRL Travels,582,10:48,Express,03:09,13:57,Cheap,2025-03-31
Ranchi,Shimla,Parveen Travels,951,22:43,Luxury Coach,12:18,11:01,Luxury,2025-03-05
Ahmedabad,Thiruvananthapuram,GreenLine Travels,191,24:33,Luxury Coach,11:24,11:57,Cheap,2025-03-12
Chennai,Agra,GreenLine Travels,1170,19:29,Non-AC Sleeper,05:53,01:22,Luxury,2025-03-29
Vijayawada,Madurai,SRS Travels,1833,11:32,AC Sleeper,03:22,14:54,Luxury,2025-04-09
Jaipur,Delhi,VRL Travels,411,6:34,Semi-Sleeper,16:53,23:27,Luxury,2025-03-07
Patna,Chennai,TNSTC,1218,21:02,Luxury Coach,22:07,19:09,Luxury,2025-04-07
Madurai,Chandigarh,GreenLine Travels,785,21:23,Volvo,21:51,19:14,Moderate,2025-04-08
Hyderabad,Mumbai,GreenLine Travels,1509,10:07,AC Sleeper,18:51,04:58,Cheap,2025-03-11
Guwahati,Udaipur,Parveen Travels,1219,6:39,AC Sleeper,08:48,15:27,Cheap,2025-02-23
Meerut,Madurai,RedBus,383,8:55,Non-AC Sleeper,01:45,10:40,Luxury,2025-04-14
Hyderabad,Chandigarh,VRL Travels,1392,20:09,Non-AC Sleeper,10:43,06:52,Cheap,2025-04-14
Nagpur,Bhubaneswar,KSRTC,1977,22:15,Express,05:43,03:58,Cheap,2025-03-28
Mysore,Varanasi,GreenLine Travels,1315,18:48,AC Sleeper,03:28,22:16,Moderate,2025-03-05
Indore,Jamshedpur,GreenLine Travels,244,12:06,Non-AC Sleeper,07:26,19:32,Cheap,2025-03-20
Kolkata,Varanasi,TNSTC,1937,22:41,Luxury Coach,04:46,03:27,Moderate,2025-03-12
Hyderabad,Guwahati,KSRTC,1019,4:08,Semi-Sleeper,07:01,11:09,Cheap,2025-04-16
Jamshedpur,Amritsar,GreenLine Travels,902,8:05,AC Sleeper,12:57,21:02,Luxury,2025-04-19
Patna,Pune,VRL Travels,1044,22:44,Luxury Coach,21:02,19:46,Moderate,2025-02-26
Udaipur,Nashik,Parveen Travels,630,9:18,Semi-Sleeper,06:12,15:30,Luxury,2025-03-16
Mumbai,Vijayawada,GreenLine Travels,1474,19:35,Luxury Coach,05:46,01:21,Cheap,2025-03-19
Jamshedpur,Thiruvananthapuram,TNSTC,939,12:00,Volvo,05:13,17:13,Luxury,2025-04-13
Bangalore,Delhi,KSRTC,322,16:13,Semi-Sleeper,11:04,03:17,Luxury,2025-03-19
Pune,Nagpur,KSRTC,1852,22:44,Non-AC Sleeper,13:58,12:42,Luxury,2025-04-12
Kanpur,Coimbatore,TNSTC,487,23:45,Semi-Sleeper,18:02,17:47,Cheap,2025-03-09
Delhi,Jamshedpur,TNSTC,616,15:37,AC Sleeper,23:40,15:17,Luxury,2025-04-17
Amritsar,Bhubaneswar,VRL Travels,256,18:24,Non-AC Sleeper,19:50,14:14,Cheap,2025-02-25
Ahmedabad,Raipur,SRS Travels,1668,14:44,Luxury Coach,22:01,12:45,Luxury,2025-03-22
Indore,Pune,GreenLine Travels,1051,21:34,Volvo,12:25,09:59,Moderate,2025-03-08
Bangalore,Amritsar,GreenLine Travels,1651,24:49,Express,21:03,21:52,Luxury,2025-04-14
Hyderabad,Madurai,KSRTC,173,6:43,Semi-Sleeper,04:12,10:55,Luxury,2025-04-02
Meerut,Indore,KSRTC,781,5:04,Volvo,08:01,13:05,Cheap,2025-04-19
Vadodara,Surat,GreenLine Travels,1286,5:52,Non-AC Sleeper,19:14,01:06,Moderate,2025-04-11
Visakhapatnam,Vadodara,TNSTC,664,16:45,Semi-Sleeper,23:56,16:41,Luxury,2025-03-17
Lucknow,Raipur,SRS Travels,1713,19:25,Semi-Sleeper,01:08,20:33,Luxury,2025-02-25
Madurai,Visakhapatnam,VRL Travels,702,11:36,Luxury Coach,13:16,00:52,Luxury,2025-02-24
Chennai,Nagpur,KSRTC,370,2:16,Volvo,17:07,19:23,Luxury,2025-04-07
Surat,Pune,SRS Travels,138,5:02,Express,15:35,20:37,Cheap,2025-03-15
Delhi,Meerut,RedBus,1434,11:37,Volvo,05:06,16:43,Luxury,2025-03-10
Jodhpur,Kolkata,KSRTC,296,2:58,Non-AC Sleeper,18:49,21:47,Moderate,2025-02-24
Pune,Madurai,VRL Travels,364,22:48,Semi-Sleeper,00:20,23:08,Moderate,2025-04-08
Hyderabad,Agra,TNSTC,821,23:28,Luxury Coach,20:23,19:51,Moderate,2025-03-16
Bangalore,Dehradun,KSRTC,546,24:27,Express,23:04,23:31,Luxury,2025-02-26
Gwalior,Vadodara,TNSTC,1933,4:46,Express,02:40,07:26,Moderate,2025-03-11
Kanpur,Shimla,TNSTC,1505,20:30,Volvo,13:56,10:26,Moderate,2025-04-12
Gwalior,Thiruvananthapuram,VRL Travels,1194,15:12,Volvo,20:42,11:54,Luxury,2025-03-18
Udaipur,Lucknow,VRL Travels,1488,19:37,AC Sleeper,21:50,17:27,Luxury,2025-03-25
Bangalore,Gwalior,TNSTC,843,24:07,Semi-Sleeper,02:39,02:46,Cheap,2025-04-15
Mysore,Kolkata,TNSTC,1541,15:07,AC Sleeper,08:52,23:59,Moderate,2025-03-22
Kolkata,Patna,KSRTC,135,12:34,AC Sleeper,04:56,17:30,Cheap,2025-03-20
Gwalior,Surat,KSRTC,674,23:51,Express,16:09,16:00,Cheap,2025-03-10
Thiruvananthapuram,Ranchi,VRL Travels,335,23:05,AC Sleeper,19:52,18:57,Moderate,2025-02-19
Lucknow,Dehradun,KSRTC,854,11:04,Semi-Sleeper,15:46,02:50,Luxury,2025-04-17
Mumbai,Nashik,VRL Travels,1355,4:59,AC Sleeper,21:21,02:20,Moderate,2025-03-29
Gwalior,Mumbai,Parveen Travels,1563,3:20,Express,22:19,01:39,Luxury,2025-03-20
Chennai,Indore,VRL Travels,270,6:53,Semi-Sleeper,19:06,01:59,Cheap,2025-04-03
Raipur,Hyderabad,RedBus,1729,10:30,Luxury Coach,15:58,02:28,Cheap,2025-03-22
Mumbai,Vadodara,KSRTC,244,5:40,AC Sleeper,16:36,22:16,Moderate,2025-03-13
Patna,Nagpur,GreenLine Travels,1272,14:49,Express,20:12,11:01,Cheap,2025-03-13
Amritsar,Lucknow,Parveen Travels,535,7:05,Non-AC Sleeper,11:56,19:01,Moderate,2025-04-12
Vijayawada,Jamshedpur,RedBus,1155,20:41,Express,05:08,01:49,Moderate,2025-03-01
Aurangabad,Indore,KSRTC,1124,23:11,Express,01:53,01:04,Moderate,2025-02-28
Chennai,Amritsar,GreenLine Travels,160,6:22,AC Sleeper,05:39,12:01,Luxury,2025-04-09
Dehradun,Visakhapatnam,KSRTC,566,3:10,Volvo,18:18,21:28,Moderate,2025-03-27
Varanasi,Amritsar,SRS Travels,1012,13:58,Express,00:34,14:32,Moderate,2025-02-22
Kanpur,Shimla,VRL Travels,113,6:23,AC Sleeper,10:45,17:08,Moderate,2025-03-21
Ahmedabad,Jodhpur,KSRTC,494,9:38,Luxury Coach,16:15,01:53,Moderate,2025-03-07
Nashik,Chennai,VRL Travels,635,23:01,Express,12:01,11:02,Cheap,2025-03-10
Madurai,Shimla,TNSTC,363,17:32,Semi-Sleeper,17:41,11:13,Luxury,2025-02-23
Jaipur,Chennai,KSRTC,1332,8:30,Luxury Coach,04:08,12:38,Moderate,2025-04-19
Pune,Raipur,SRS Travels,422,3:32,Luxury Coach,10:15,13:47,Cheap,2025-04-04
Pune,Udaipur,VRL Travels,197,18:09,Non-AC Sleeper,09:22,03:31,Cheap,2025-04-02
Thiruvananthapuram,Dehradun,KSRTC,141,9:23,Volvo,02:56,12:19,Cheap,2025-03-12
Vijayawada,Kolkata,KSRTC,1794,2:15,Semi-Sleeper,14:14,16:29,Cheap,2025-04-07
Bhopal,Jamshedpur,KSRTC,381,4:27,Volvo,18:24,22:51,Moderate,2025-04-15
Thiruvananthapuram,Lucknow,Parveen Travels,255,18:18,Express,03:55,22:13,Moderate,2025-03-15
Jaipur,Bhubaneswar,TNSTC,1258,9:44,Luxury Coach,18:18,04:02,Cheap,2025-03-13
Jodhpur,Mysore,GreenLine Travels,646,13:19,Non-AC Sleeper,18:03,07:22,Luxury,2025-04-07
Aurangabad,Vijayawada,Parveen Travels,1137,15:47,Semi-Sleeper,10:16,02:03,Luxury,2025-04-19
Varanasi,Delhi,Parveen Travels,500,14:30,Non-AC Sleeper,15:56,06:26,Cheap,2025-03-26
Jamshedpur,Surat,GreenLine Travels,251,2:45,Express,17:48,20:33,Luxury,2025-02-28
Delhi,Dehradun,KSRTC,1456,4:48,Express,16:49,21:37,Moderate,2025-04-07
Bhopal,Raipur,GreenLine Travels,1711,10:33,Semi-Sleeper,16:06,02:39,Cheap,2025-03-03
Ahmedabad,Gwalior,RedBus,148,14:12,Express,13:50,04:02,Moderate,2025-03-10
Gwalior,Jaipur,TNSTC,244,15:19,Non-AC Sleeper,21:05,12:24,Luxury,2025-03-22
Jaipur,Jamshedpur,RedBus,998,12:44,Luxury Coach,16:26,05:10,Moderate,2025-04-02
Kolkata,Vijayawada,RedBus,1459,12:42,AC Sleeper,17:49,06:31,Cheap,2025-03-13
Mumbai,Bangalore,RedBus,1129,24:09,AC Sleeper,06:21,06:30,Moderate,2025-04-11
Coimbatore,Chennai,GreenLine Travels,533,9:01,Non-AC Sleeper,10:12,19:13,Luxury,2025-03-28
Varanasi,Madurai,TNSTC,1208,24:33,Luxury Coach,16:56,17:29,Luxury,2025-04-17
Raipur,Delhi,VRL Travels,1621,2:39,Express,10:25,13:04,Luxury,2025-03-15
Chennai,Varanasi,VRL Travels,1830,21:23,Luxury Coach,05:05,02:28,Cheap,2025-03-06
Aurangabad,Vijayawada,TNSTC,840,23:33,Volvo,13:16,12:49,Cheap,2025-03-18
Ahmedabad,Lucknow,KSRTC,262,3:59,Semi-Sleeper,00:17,04:16,Luxury,2025-04-04
Surat,Hyderabad,RedBus,1460,20:52,AC Sleeper,20:23,17:15,Cheap,2025-03-28
Raipur,Bangalore,Parveen Travels,1397,9:04,Express,12:24,21:28,Moderate,2025-03-16
Madurai,Dehradun,RedBus,479,16:15,AC Sleeper,10:42,02:57,Luxury,2025-03-15
Raipur,Chennai,Parveen Travels,1335,15:12,Semi-Sleeper,16:40,07:52,Moderate,2025-02-28
Madurai,Jaipur,RedBus,1354,15:58,Non-AC Sleeper,01:35,17:33,Luxury,2025-04-14
Ahmedabad,Dehradun,RedBus,1055,8:40,Express,08:34,17:14,Cheap,2025-02-20
Raipur,Hyderabad,SRS Travels,429,14:46,AC Sleeper,09:34,00:20,Moderate,2025-04-08
Ahmedabad,Guwahati,KSRTC,950,20:46,AC Sleeper,14:14,11:00,Luxury,2025-02-19
Coimbatore,Kolkata,KSRTC,1381,15:25,Luxury Coach,17:27,08:52,Cheap,2025-03-09
Vadodara,Jaipur,SRS Travels,1211,21:44,Non-AC Sleeper,12:16,10:00,Luxury,2025-04-03
Pune,Hyderabad,GreenLine Travels,926,23:15,Semi-Sleeper,13:58,13:13,Luxury,2025-04-02
Aurangabad,Indore,GreenLine Travels,1618,14:06,Non-AC Sleeper,14:29,04:35,Cheap,2025-02-21
Bhubaneswar,Guwahati,RedBus,808,21:03,Express,10:05,07:08,Moderate,2025-02-28
Udaipur,Meerut,SRS Travels,1028,8:44,Non-AC Sleeper,04:33,13:17,Cheap,2025-03-19
Bhopal,Madurai,GreenLine Travels,805,14:39,AC Sleeper,04:17,18:56,Cheap,2025-03-21
Surat,Raipur,Parveen Travels,1121,22:46,Express,21:30,20:16,Luxury,2025-03-22
Raipur,Thiruvananthapuram,VRL Travels,1305,18:12,Express,20:53,15:05,Cheap,2025-03-31
Ahmedabad,Amritsar,TNSTC,741,5:58,Non-AC Sleeper,08:27,14:25,Moderate,2025-03-09
Jodhpur,Madurai,Parveen Travels,1416,5:58,Volvo,04:55,10:53,Luxury,2025-04-14
Ranchi,Vijayawada,RedBus,535,4:17,Luxury Coach,11:13,15:30,Moderate,2025-03-31
Chennai,Bangalore,KSRTC,845,19:09,Non-AC Sleeper,19:50,14:59,Luxury,2025-04-16
Mumbai,Amritsar,KSRTC,659,5:24,AC Sleeper,13:33,18:57,Luxury,2025-02-22
Raipur,Jaipur,KSRTC,420,13:10,Express,03:30,16:40,Cheap,2025-02-26
Varanasi,Vijayawada,GreenLine Travels,694,18:11,Non-AC Sleeper,12:51,07:02,Moderate,2025-03-14
Ahmedabad,Dehradun,KSRTC,1053,24:49,AC Sleeper,07:36,08:25,Luxury,2025-03-08
Madurai,Mumbai,Parveen Travels,1413,15:54,Non-AC Sleeper,03:22,19:16,Cheap,2025-03-12
Mysore,Nagpur,GreenLine Travels,966,18:37,AC Sleeper,11:47,06:24,Cheap,2025-03-06
Jaipur,Delhi,RedBus,536,15:01,AC Sleeper,14:34,05:35,Cheap,2025-02-27
Indore,Nashik,SRS Travels,1924,17:45,Volvo,20:25,14:10,Cheap,2025-04-02
Chennai,Delhi,SRS Travels,256,8:02,Non-AC Sleeper,03:16,11:18,Cheap,2025-03-27
Udaipur,Bhubaneswar,KSRTC,252,2:51,Express,17:59,20:50,Moderate,2025-04-15
Shimla,Hyderabad,VRL Travels,693,15:50,Luxury Coach,18:48,10:38,Moderate,2025-04-10
Bangalore,Vijayawada,VRL Travels,432,12:42,AC Sleeper,05:10,17:52,Cheap,2025-03-23
Thiruvananthapuram,Mumbai,SRS Travels,137,16:12,Non-AC Sleeper,23:04,15:16,Cheap,2025-04-03
Delhi,Chandigarh,SRS Travels,466,18:56,AC Sleeper,20:14,15:10,Luxury,2025-02-22
Ahmedabad,Lucknow,GreenLine Travels,620,15:09,Semi-Sleeper,17:57,09:06,Cheap,2025-04-01
Hyderabad,Patna,GreenLine Travels,1749,18:31,Express,14:47,09:18,Luxury,2025-03-08
Vadodara,Jodhpur,RedBus,1493,11:58,Non-AC Sleeper,03:02,15:00,Cheap,2025-03-22
Delhi,Thiruvananthapuram,SRS Travels,514,6:17,Volvo,22:25,04:42,Moderate,2025-03-25
Mumbai,Agra,VRL Travels,966,21:37,AC Sleeper,02:15,23:52,Moderate,2025-03-03
Indore,Ranchi,KSRTC,636,3:13,Express,16:42,19:55,Moderate,2025-03-27
Indore,Chandigarh,SRS Travels,1785,7:39,AC Sleeper,06:30,14:09,Cheap,2025-04-10
Varanasi,Lucknow,RedBus,377,22:11,AC Sleeper,14:43,12:54,Moderate,2025-04-17
Indore,Meerut,SRS Travels,1168,4:15,Semi-Sleeper,11:19,15:34,Luxury,2025-03-25
Chandigarh,Delhi,SRS Travels,1667,11:28,Luxury Coach,12:20,23:48,Cheap,2025-03-04
Meerut,Shimla,Parveen Travels,1643,15:42,Non-AC Sleeper,19:33,11:15,Luxury,2025-03-20
Dehradun,Lucknow,GreenLine Travels,787,11:24,AC Sleeper,18:07,05:31,Cheap,2025-03-05
Nashik,Agra,SRS Travels,1954,19:27,Semi-Sleeper,13:21,08:48,Cheap,2025-04-10
Pune,Chandigarh,KSRTC,1225,21:21,AC Sleeper,07:58,05:19,Moderate,2025-02-20
Hyderabad,Patna,RedBus,518,17:41,Semi-Sleeper,06:59,00:40,Cheap,2025-04-08
Bhopal,Jaipur,TNSTC,1776,20:57,Volvo,04:48,01:45,Cheap,2025-04-13
Bhubaneswar,Chennai,TNSTC,166,3:29,Luxury Coach,07:46,11:15,Luxury,2025-03-06
Thiruvananthapuram,Jodhpur,RedBus,1418,14:14,Non-AC Sleeper,14:33,04:47,Luxury,2025-04-13
Kanpur,Dehradun,Parveen Travels,1782,22:05,AC Sleeper,15:47,13:52,Cheap,2025-03-17
Kanpur,Nashik,RedBus,472,23:15,Non-AC Sleeper,22:15,21:30,Luxury,2025-03-21
Raipur,Meerut,RedBus,479,17:17,Semi-Sleeper,16:13,09:30,Moderate,2025-02-21
Guwahati,Thiruvananthapuram,RedBus,1604,9:08,AC Sleeper,14:06,23:14,Luxury,2025-03-11
Nashik,Guwahati,RedBus,617,7:01,Volvo,16:33,23:34,Cheap,2025-04-16
Vadodara,Pune,VRL Travels,751,16:34,AC Sleeper,01:31,18:05,Luxury,2025-03-11
Jaipur,Patna,Parveen Travels,1138,23:56,Non-AC Sleeper,21:57,21:53,Moderate,2025-03-31
Guwahati,Jaipur,GreenLine Travels,885,16:15,Semi-Sleeper,04:00,20:15,Cheap,2025-03-29
Indore,Bangalore,Parveen Travels,595,4:53,AC Sleeper,11:12,16:05,Cheap,2025-03-29
Ahmedabad,Jodhpur,GreenLine Travels,1509,24:07,AC Sleeper,04:34,04:41,Cheap,2025-02-20
Jamshedpur,Agra,VRL Travels,646,16:09,Semi-Sleeper,22:10,14:19,Cheap,2025-04-03
Chennai,Jamshedpur,RedBus,1893,14:07,Non-AC Sleeper,15:36,05:43,Luxury,2025-04-08
Varanasi,Bangalore,RedBus,1891,13:33,Semi-Sleeper,23:15,12:48,Luxury,2025-03-15
Delhi,Visakhapatnam,KSRTC,785,21:55,AC Sleeper,01:57,23:52,Moderate,2025-03-18
Guwahati,Dehradun,SRS Travels,881,7:26,AC Sleeper,14:29,21:55,Moderate,2025-04-12
Ranchi,Varanasi,SRS Travels,219,15:16,Volvo,19:23,10:39,Moderate,2025-03-05
Indore,Ahmedabad,TNSTC,1162,16:47,Volvo,07:07,23:54,Cheap,2025-04-09
Coimbatore,Bhubaneswar,KSRTC,1118,18:58,Non-AC Sleeper,18:56,13:54,Moderate,2025-03-15
Delhi,Ranchi,SRS Travels,862,6:52,Volvo,15:59,22:51,Moderate,2025-04-18
Gwalior,Surat,TNSTC,1200,18:43,Non-AC Sleeper,11:26,06:09,Moderate,2025-03-28
Gwalior,Indore,TNSTC,118,3:44,Express,13:25,17:09,Moderate,2025-04-04
Jamshedpur,Surat,KSRTC,162,14:56,Express,07:01,21:57,Moderate,2025-02-26
Madurai,Kanpur,Parveen Travels,1800,10:36,AC Sleeper,05:18,15:54,Luxury,2025-03-16
Dehradun,Visakhapatnam,Parveen Travels,622,17:33,Express,18:06,11:39,Cheap,2025-04-05
Bhopal,Bhubaneswar,SRS Travels,1300,6:18,Express,23:57,06:15,Moderate,2025-04-07
Dehradun,Agra,RedBus,1050,11:37,Express,03:11,14:48,Cheap,2025-04-03
Shimla,Vijayawada,RedBus,242,7:06,Semi-Sleeper,11:17,18:23,Moderate,2025-03-16
Nashik,Jamshedpur,VRL Travels,377,14:52,Luxury Coach,08:48,23:40,Luxury,2025-03-19
Patna,Chandigarh,VRL Travels,215,12:03,AC Sleeper,16:13,04:16,Moderate,2025-03-28
Thiruvananthapuram,Jamshedpur,RedBus,1041,7:34,Semi-Sleeper,07:00,14:34,Luxury,2025-03-25
Nashik,Aurangabad,TNSTC,1174,24:34,Non-AC Sleeper,18:55,19:29,Moderate,2025-04-12
Jodhpur,Mumbai,Parveen Travels,1844,19:39,Luxury Coach,18:14,13:53,Luxury,2025-02-19
Indore,Bangalore,RedBus,1937,17:05,Semi-Sleeper,23:43,16:48,Moderate,2025-02-20
Surat,Shimla,Parveen Travels,694,7:37,AC Sleeper,15:55,23:32,Cheap,2025-03-09
Delhi,Varanasi,GreenLine Travels,1970,15:27,Express,03:26,18:53,Cheap,2025-04-05
Meerut,Kolkata,SRS Travels,1679,5:50,Luxury Coach,17:34,23:24,Moderate,2025-02-23
Visakhapatnam,Madurai,SRS Travels,1156,20:36,Luxury Coach,02:10,22:46,Luxury,2025-03-10
Patna,Nashik,RedBus,1841,20:18,Semi-Sleeper,12:25,08:43,Cheap,2025-03-28
Thiruvananthapuram,Indore,Parveen Travels,1484,13:21,Luxury Coach,02:28,15:49,Moderate,2025-02-28
Thiruvananthapuram,Pune,GreenLine Travels,358,20:33,Luxury Coach,14:54,11:27,Luxury,2025-03-31
