Source,Destination,Operator,Distance (Kms),Duration,Bus Type,Departure,Arrival,Bus Price,Bus Arrival Date
Thane,Hyderabad,VRL Travels,609,04:44,Seater,16:37,08:51,2748,01-10-2025
Mumbai,Udaipur,VRL Travels,538,06:38,Luxury Coach,14:04,03:05,1485,30-11-2025
Aurangabad,Bhopal,VRL Travels,1240,12:32,Sleeper,19:27,02:29,2394,22-02-2025
Solapur,Ahmedabad,Rajdhani Travels,445,07:35,Sleeper,17:23,01:24,3149,03-02-2025
Amravati,Hyderabad,VRL Travels,1393,02:49,Sleeper,23:51,19:03,5662,05-04-2025
Mumbai,Jaipur,Rajdhani Travels,1713,11:03,Seater,08:41,13:35,7034,02-08-2025
Nagpur,Surat,SRS Travels,1729,03:32,Seater,12:34,17:07,2361,19-06-2025
Pune,Vadodara,RedBus,1891,08:41,Seater,12:14,10:59,3342,13-06-2025
Aurangabad,Udaipur,Rajdhani Travels,181,10:41,Sleeper,12:45,20:28,2907,01-02-2025
Pune,Hyderabad,SRS Travels,292,07:51,Luxury Coach,07:06,23:18,4701,26-06-2025
Aurangabad,Udaipur,RedBus,1046,09:39,Sleeper,13:24,10:28,5860,01-02-2025
Aurangabad,Indore,Rajdhani Travels,1354,01:12,Seater,19:28,21:24,7616,26-10-2025
Aurangabad,Hyderabad,Rajdhani Travels,773,04:06,Sleeper,07:09,08:45,5287,18-02-2025
Kolhapur,Surat,VRL Travels,769,01:42,Luxury Coach,03:15,18:26,7335,19-12-2025
Kolhapur,Bhopal,RedBus,553,08:52,Sleeper,06:03,04:42,1523,02-03-2025
Amravati,Indore,RedBus,1499,03:52,Luxury Coach,23:31,00:05,2800,25-11-2025
Amravati,Hyderabad,Rajdhani Travels,407,11:53,Luxury Coach,09:50,10:40,3541,05-12-2025
Solapur,Surat,VRL Travels,999,08:14,Seater,07:04,09:13,504,31-07-2025
Amravati,Hyderabad,RedBus,161,03:48,Luxury Coach,13:13,19:51,5561,21-09-2025
Amravati,Jaipur,Rajdhani Travels,1142,01:02,Luxury Coach,04:33,14:59,538,30-05-2025
Kolhapur,Goa,SRS Travels,1156,07:02,Seater,15:58,14:35,4463,12-09-2025
Nagpur,Vadodara,VRL Travels,524,10:41,Seater,03:14,04:00,6505,01-04-2025
Amravati,Chennai,VRL Travels,1391,06:26,Luxury Coach,21:08,19:55,5793,04-03-2025
Jalgaon,Jaipur,VRL Travels,1425,04:54,Luxury Coach,21:25,19:50,3228,05-07-2025
Thane,Hyderabad,Rajdhani Travels,743,12:37,Sleeper,16:22,03:55,2667,01-12-2025
Solapur,Surat,VRL Travels,163,09:24,Sleeper,05:08,22:37,7489,06-12-2025
Jalgaon,Surat,SRS Travels,910,11:39,Sleeper,12:49,19:55,5573,28-10-2025
Nashik,Indore,RedBus,1025,11:43,Seater,16:25,07:46,4543,14-03-2025
Mumbai,Jaipur,Rajdhani Travels,1107,09:17,Luxury Coach,12:44,20:34,6920,11-07-2025
Jalgaon,Bhopal,SRS Travels,1945,07:12,Luxury Coach,05:20,23:19,981,16-01-2025
Amravati,Vadodara,RedBus,242,01:31,Seater,12:08,16:39,4367,05-01-2025
Aurangabad,Jaipur,Rajdhani Travels,326,04:43,Sleeper,18:23,20:54,326,04-07-2025
Nashik,Hyderabad,RedBus,727,05:08,Luxury Coach,15:01,02:16,517,17-12-2025
Nagpur,Udaipur,RedBus,828,01:42,Luxury Coach,23:00,05:50,808,22-08-2025
Kolhapur,Hyderabad,Rajdhani Travels,1613,08:25,Seater,15:58,14:16,6835,02-12-2025
Thane,Indore,Rajdhani Travels,1948,03:32,Sleeper,20:26,07:08,5436,24-01-2025
Nashik,Ahmedabad,RedBus,600,06:55,Seater,03:52,20:14,7467,25-08-2025
Thane,Jaipur,RedBus,1112,09:56,Luxury Coach,00:26,20:46,7347,21-09-2025
Aurangabad,Jaipur,SRS Travels,1821,12:17,Sleeper,06:07,15:53,5490,04-07-2025
Nashik,Indore,Rajdhani Travels,1516,10:18,Luxury Coach,04:35,06:31,2581,27-11-2025
Nagpur,Chennai,SRS Travels,658,01:34,Luxury Coach,12:40,06:48,2614,29-12-2025
Amravati,Chennai,Rajdhani Travels,1187,10:12,Seater,19:32,19:13,7682,11-01-2025
Thane,Indore,RedBus,525,07:51,Luxury Coach,04:01,04:42,5280,07-06-2025
Thane,Indore,RedBus,637,10:22,Sleeper,02:00,20:45,7238,03-07-2025
Nagpur,Udaipur,SRS Travels,1019,11:53,Sleeper,15:11,03:48,3584,07-12-2025
Jalgaon,Indore,VRL Travels,655,10:54,Seater,17:12,13:00,2558,22-05-2025
Kolhapur,Indore,RedBus,1516,09:00,Seater,00:10,22:13,2045,15-05-2025
Kolhapur,Jaipur,Rajdhani Travels,534,09:56,Sleeper,23:47,13:33,5154,15-04-2025
Jalgaon,Ahmedabad,VRL Travels,545,02:55,Sleeper,01:42,21:54,2763,10-04-2025
Amravati,Vadodara,VRL Travels,1801,11:52,Luxury Coach,01:10,04:23,2964,21-05-2025
Nagpur,Hyderabad,Rajdhani Travels,1249,04:05,Sleeper,17:25,06:06,6263,30-05-2025
Amravati,Jaipur,Rajdhani Travels,1728,09:55,Seater,01:13,19:34,3244,04-09-2025
Thane,Jaipur,VRL Travels,1396,07:49,Seater,23:14,19:55,4597,23-05-2025
Thane,Hyderabad,Rajdhani Travels,839,07:00,Sleeper,20:33,09:16,876,24-03-2025
Kolhapur,Hyderabad,VRL Travels,1392,11:23,Luxury Coach,02:50,08:50,4005,07-07-2025
Aurangabad,Vadodara,Rajdhani Travels,1421,12:15,Luxury Coach,06:05,07:06,2907,20-03-2025
Solapur,Hyderabad,RedBus,1037,04:29,Luxury Coach,22:22,17:52,3304,27-02-2025
Jalgaon,Surat,SRS Travels,786,02:24,Sleeper,23:59,07:12,2786,28-09-2025
Mumbai,Surat,SRS Travels,1882,04:33,Sleeper,11:27,07:54,2511,13-09-2025
Solapur,Ahmedabad,RedBus,310,04:27,Luxury Coach,14:21,15:24,2256,06-08-2025
Aurangabad,Jaipur,RedBus,1513,01:42,Luxury Coach,12:15,10:44,7384,03-07-2025
Nashik,Jaipur,SRS Travels,153,05:06,Sleeper,14:54,16:41,4117,05-11-2025
Aurangabad,Surat,SRS Travels,860,05:14,Sleeper,07:16,13:55,676,01-07-2025
Nashik,Vadodara,RedBus,427,09:06,Sleeper,14:32,10:13,7044,09-02-2025
Pune,Bhopal,SRS Travels,358,10:24,Seater,09:21,21:17,5879,14-08-2025
Solapur,Indore,SRS Travels,823,10:11,Seater,22:11,15:17,1806,28-10-2025
Amravati,Vadodara,VRL Travels,934,04:39,Luxury Coach,18:33,06:22,3173,07-02-2025
Thane,Surat,Rajdhani Travels,1232,12:01,Sleeper,19:46,05:17,6036,21-07-2025
Thane,Surat,RedBus,792,10:20,Sleeper,13:22,06:05,7627,27-08-2025
Pune,Chennai,RedBus,1401,10:27,Luxury Coach,17:19,18:08,5009,16-06-2025
Amravati,Ahmedabad,VRL Travels,851,05:15,Sleeper,17:26,06:37,7141,06-08-2025
Jalgaon,Jaipur,Rajdhani Travels,1758,03:28,Luxury Coach,23:51,17:05,6804,01-06-2025
Mumbai,Hyderabad,VRL Travels,1626,01:34,Seater,21:14,17:27,6040,12-01-2025
Amravati,Bhopal,SRS Travels,200,12:48,Luxury Coach,08:02,12:56,5781,12-07-2025
Nashik,Hyderabad,RedBus,597,10:27,Seater,02:29,07:11,6324,02-09-2025
Solapur,Jaipur,Rajdhani Travels,969,04:51,Seater,12:01,18:25,1696,28-07-2025
Solapur,Hyderabad,RedBus,892,07:01,Seater,15:39,15:28,4647,11-11-2025
Mumbai,Hyderabad,RedBus,1558,02:53,Sleeper,20:16,15:01,6130,18-09-2025
Pune,Udaipur,Rajdhani Travels,363,06:51,Luxury Coach,03:38,05:00,6820,24-11-2025
Pune,Ahmedabad,SRS Travels,1142,11:35,Seater,08:56,01:52,5787,08-01-2025
Jalgaon,Hyderabad,VRL Travels,1179,01:57,Seater,10:08,12:44,3424,18-08-2025
Mumbai,Surat,Rajdhani Travels,1263,07:27,Seater,01:35,16:59,1631,31-03-2025
Pune,Goa,RedBus,983,07:04,Sleeper,13:31,02:18,1694,04-04-2025
Thane,Udaipur,Rajdhani Travels,1167,06:01,Luxury Coach,05:46,19:24,3474,23-06-2025
Solapur,Vadodara,Rajdhani Travels,876,07:56,Seater,08:19,06:47,3845,28-11-2025
Solapur,Goa,RedBus,1501,03:14,Seater,01:10,20:21,5058,22-11-2025
Pune,Goa,Rajdhani Travels,1004,09:56,Sleeper,17:09,01:08,2037,03-12-2025
Mumbai,Surat,Rajdhani Travels,116,06:53,Seater,21:09,14:24,616,06-09-2025
Kolhapur,Ahmedabad,SRS Travels,434,02:19,Sleeper,23:05,00:44,2685,08-10-2025
Thane,Indore,RedBus,381,03:54,Luxury Coach,21:51,04:41,6175,26-03-2025
Aurangabad,Goa,Rajdhani Travels,416,05:13,Seater,13:55,16:10,1512,20-05-2025
Kolhapur,Chennai,VRL Travels,1546,03:25,Sleeper,18:10,10:14,5252,12-06-2025
Pune,Jaipur,RedBus,1407,08:37,Seater,10:00,09:55,7664,08-05-2025
Nashik,Jaipur,RedBus,1129,09:00,Sleeper,20:56,18:31,4184,21-03-2025
Thane,Ahmedabad,SRS Travels,259,11:25,Luxury Coach,10:14,18:41,2507,24-12-2025
Amravati,Surat,SRS Travels,704,07:43,Luxury Coach,13:20,03:46,3975,21-10-2025
Mumbai,Surat,Rajdhani Travels,852,08:40,Luxury Coach,08:34,20:59,1944,22-03-2025
Mumbai,Chennai,Rajdhani Travels,586,05:19,Luxury Coach,04:43,18:13,2421,02-08-2025
Solapur,Hyderabad,RedBus,1587,07:48,Luxury Coach,10:04,02:06,4874,11-12-2025
Amravati,Vadodara,SRS Travels,352,07:49,Seater,15:13,12:59,1619,02-06-2025
Solapur,Bhopal,RedBus,1452,07:46,Sleeper,12:52,23:06,6226,01-03-2025
Jalgaon,Chennai,SRS Travels,1290,11:27,Sleeper,04:02,21:50,3415,06-12-2025
Mumbai,Chennai,SRS Travels,1641,01:00,Sleeper,06:56,07:21,1090,30-09-2025
Aurangabad,Surat,VRL Travels,408,06:02,Sleeper,10:00,19:29,1184,30-01-2025
Thane,Indore,SRS Travels,318,02:02,Sleeper,22:07,01:36,4718,17-09-2025
Solapur,Goa,SRS Travels,1142,06:40,Seater,23:01,19:22,4942,09-03-2025
Solapur,Hyderabad,SRS Travels,393,02:46,Seater,23:11,17:30,6426,29-04-2025
Jalgaon,Bhopal,SRS Travels,1481,02:26,Sleeper,04:20,12:41,7101,20-01-2025
Mumbai,Bhopal,Rajdhani Travels,957,04:48,Luxury Coach,16:08,13:44,7397,20-08-2025
Jalgaon,Goa,Rajdhani Travels,1523,09:54,Sleeper,07:19,02:34,4388,05-10-2025
Nashik,Bhopal,Rajdhani Travels,1519,06:37,Luxury Coach,09:22,07:13,4190,13-02-2025
Aurangabad,Hyderabad,VRL Travels,360,04:17,Seater,06:27,05:41,6428,25-07-2025
Amravati,Hyderabad,VRL Travels,994,10:29,Luxury Coach,02:47,19:08,1131,24-09-2025
Pune,Ahmedabad,SRS Travels,1291,10:12,Luxury Coach,11:06,15:15,6687,17-09-2025
Aurangabad,Udaipur,VRL Travels,1612,05:20,Sleeper,16:04,03:43,1995,12-06-2025
Mumbai,Surat,RedBus,382,08:09,Seater,17:50,18:07,1045,28-10-2025
Pune,Udaipur,Rajdhani Travels,1274,01:21,Sleeper,19:47,15:38,1859,20-03-2025
Aurangabad,Surat,VRL Travels,1528,06:21,Seater,11:01,18:33,3620,24-02-2025
Thane,Surat,Rajdhani Travels,912,08:45,Luxury Coach,18:20,05:33,2338,12-09-2025
Nagpur,Chennai,SRS Travels,1926,03:16,Seater,03:13,15:42,6596,16-07-2025
Nashik,Goa,SRS Travels,510,12:44,Seater,10:01,00:15,7430,10-10-2025
Jalgaon,Chennai,SRS Travels,704,02:41,Seater,10:04,07:50,4671,17-01-2025
Jalgaon,Udaipur,RedBus,1960,12:51,Luxury Coach,06:37,14:34,2226,19-01-2025
Mumbai,Surat,Rajdhani Travels,1288,07:55,Luxury Coach,02:40,07:43,7612,26-05-2025
Amravati,Goa,VRL Travels,555,08:59,Luxury Coach,18:36,05:36,2204,10-04-2025
Mumbai,Vadodara,RedBus,1803,02:09,Luxury Coach,10:27,21:49,6305,15-03-2025
Thane,Chennai,VRL Travels,1776,06:17,Seater,03:50,19:36,2568,17-02-2025
Nashik,Hyderabad,VRL Travels,1373,12:23,Luxury Coach,18:44,07:45,2034,20-02-2025
Pune,Hyderabad,RedBus,1475,04:47,Luxury Coach,13:57,13:34,568,21-11-2025
Solapur,Ahmedabad,VRL Travels,482,04:56,Sleeper,22:36,12:17,1001,14-06-2025
Aurangabad,Jaipur,RedBus,1625,03:13,Luxury Coach,08:38,11:16,3406,04-11-2025
Aurangabad,Chennai,VRL Travels,1006,03:54,Sleeper,07:52,08:02,2953,12-05-2025
Amravati,Udaipur,SRS Travels,592,08:27,Luxury Coach,15:08,15:53,3581,06-03-2025
Kolhapur,Udaipur,Rajdhani Travels,1834,08:48,Sleeper,21:34,06:10,6281,02-10-2025
Nagpur,Chennai,VRL Travels,1918,07:50,Luxury Coach,06:15,03:49,5591,10-12-2025
Aurangabad,Ahmedabad,RedBus,339,03:16,Sleeper,01:07,23:12,7022,29-07-2025
Nagpur,Chennai,VRL Travels,673,10:34,Seater,12:26,17:56,7052,24-09-2025
Pune,Vadodara,Rajdhani Travels,978,03:55,Sleeper,13:01,19:09,6042,26-05-2025
Thane,Udaipur,SRS Travels,756,04:26,Seater,16:11,12:15,4507,13-02-2025
Pune,Chennai,VRL Travels,221,09:17,Seater,04:41,16:43,2083,30-05-2025
Solapur,Udaipur,VRL Travels,205,12:13,Luxury Coach,07:18,02:13,7714,23-09-2025
Thane,Goa,RedBus,313,08:30,Luxury Coach,23:26,04:34,2753,30-06-2025
Aurangabad,Vadodara,SRS Travels,303,07:49,Sleeper,15:47,19:04,570,19-03-2025
Mumbai,Udaipur,VRL Travels,1834,06:27,Seater,22:01,10:26,4918,12-09-2025
Nashik,Jaipur,RedBus,980,06:05,Seater,12:27,21:12,1582,02-11-2025
Aurangabad,Goa,Rajdhani Travels,1534,06:08,Sleeper,19:27,02:45,2234,12-03-2025
Aurangabad,Jaipur,RedBus,818,03:51,Luxury Coach,16:23,17:55,7249,01-08-2025
Aurangabad,Udaipur,RedBus,743,05:13,Sleeper,07:51,12:49,6806,10-11-2025
Thane,Jaipur,RedBus,1696,07:22,Luxury Coach,01:32,15:39,4952,21-06-2025
Solapur,Jaipur,VRL Travels,1419,04:40,Luxury Coach,01:40,00:11,5159,21-12-2025
Pune,Udaipur,VRL Travels,1202,03:19,Sleeper,15:31,04:56,7368,02-01-2025
Jalgaon,Hyderabad,RedBus,1794,03:00,Luxury Coach,10:44,00:57,7789,06-11-2025
Solapur,Goa,RedBus,469,07:04,Luxury Coach,18:54,22:49,1960,30-01-2025
Thane,Surat,SRS Travels,1155,02:31,Seater,15:38,04:30,1224,19-11-2025
Aurangabad,Jaipur,Rajdhani Travels,1981,12:03,Seater,06:16,01:37,4290,11-08-2025
Amravati,Jaipur,VRL Travels,777,12:37,Sleeper,08:12,01:14,4891,28-06-2025
Mumbai,Udaipur,Rajdhani Travels,400,07:06,Sleeper,09:59,22:28,2155,27-02-2025
Nashik,Indore,VRL Travels,1611,10:28,Sleeper,05:33,14:14,4346,23-10-2025
Amravati,Vadodara,VRL Travels,1259,04:39,Sleeper,06:06,23:40,724,13-09-2025
Thane,Chennai,RedBus,440,04:47,Sleeper,05:46,09:58,1702,07-07-2025
Amravati,Indore,RedBus,616,08:55,Sleeper,16:00,17:21,7654,17-09-2025
Pune,Bhopal,Rajdhani Travels,594,04:21,Seater,05:49,16:02,2883,05-02-2025
Solapur,Bhopal,RedBus,763,06:18,Seater,03:19,15:54,1517,01-08-2025
Mumbai,Ahmedabad,SRS Travels,552,03:18,Seater,07:29,22:22,6361,25-04-2025
Mumbai,Ahmedabad,RedBus,1812,07:40,Seater,06:58,00:16,6135,10-11-2025
Amravati,Goa,RedBus,253,03:49,Luxury Coach,20:38,22:27,2593,28-06-2025
Amravati,Chennai,RedBus,591,11:13,Luxury Coach,17:34,06:22,1466,19-06-2025
Pune,Udaipur,SRS Travels,801,01:27,Luxury Coach,00:56,00:03,5670,18-02-2025
Aurangabad,Ahmedabad,RedBus,585,01:03,Sleeper,10:03,01:05,1784,10-03-2025
Nagpur,Vadodara,RedBus,149,06:10,Luxury Coach,18:56,20:44,7647,04-12-2025
Nashik,Surat,RedBus,1570,06:11,Luxury Coach,17:49,08:29,7841,08-12-2025
Kolhapur,Goa,Rajdhani Travels,1186,03:46,Sleeper,18:02,18:31,6162,07-12-2025
Amravati,Bhopal,RedBus,823,06:19,Seater,10:34,16:54,4996,11-04-2025
Thane,Bhopal,RedBus,681,06:46,Sleeper,01:02,23:33,6977,07-11-2025
Mumbai,Chennai,VRL Travels,915,10:37,Luxury Coach,10:45,17:41,1539,09-08-2025
Aurangabad,Indore,Rajdhani Travels,478,05:07,Luxury Coach,14:02,05:33,6891,01-01-2025
Jalgaon,Bhopal,SRS Travels,1566,04:32,Luxury Coach,00:35,20:16,3756,08-07-2025
Mumbai,Vadodara,SRS Travels,1883,12:11,Seater,23:22,02:20,5809,26-08-2025
Nagpur,Goa,Rajdhani Travels,1847,10:33,Luxury Coach,21:59,16:07,907,24-03-2025
Thane,Ahmedabad,Rajdhani Travels,1277,05:10,Seater,19:58,06:20,7553,26-07-2025
Nagpur,Surat,SRS Travels,238,07:52,Luxury Coach,20:24,07:13,3926,08-06-2025
Mumbai,Hyderabad,VRL Travels,896,05:03,Sleeper,16:47,04:10,7906,19-01-2025
Amravati,Indore,SRS Travels,1156,10:51,Seater,17:59,12:22,2854,04-05-2025
Kolhapur,Chennai,VRL Travels,1439,03:20,Sleeper,11:27,00:17,727,19-06-2025
Aurangabad,Bhopal,SRS Travels,1646,02:48,Seater,09:00,15:19,3459,26-09-2025
Aurangabad,Vadodara,VRL Travels,106,02:44,Luxury Coach,23:00,04:32,454,14-07-2025
Mumbai,Hyderabad,VRL Travels,1272,07:54,Luxury Coach,23:07,14:39,4557,15-09-2025
Nagpur,Jaipur,RedBus,583,12:44,Luxury Coach,09:39,13:37,5261,25-04-2025
Thane,Surat,VRL Travels,1130,05:59,Luxury Coach,03:13,13:29,6305,13-09-2025
Solapur,Chennai,SRS Travels,1726,06:19,Luxury Coach,18:47,16:09,1539,04-04-2025
Solapur,Jaipur,Rajdhani Travels,331,01:04,Seater,19:45,03:05,6481,07-09-2025
Jalgaon,Jaipur,VRL Travels,729,08:00,Seater,12:39,07:01,5109,31-10-2025
Aurangabad,Jaipur,VRL Travels,1070,10:37,Sleeper,11:46,16:47,2675,29-07-2025
Nashik,Udaipur,Rajdhani Travels,1902,06:50,Sleeper,03:32,03:41,4564,17-07-2025
Aurangabad,Goa,RedBus,173,03:00,Seater,01:28,04:20,6600,22-02-2025
Pune,Udaipur,Rajdhani Travels,1959,11:09,Luxury Coach,07:33,05:50,5096,17-05-2025
Solapur,Chennai,Rajdhani Travels,200,03:13,Seater,04:55,14:43,6251,11-09-2025
Kolhapur,Ahmedabad,Rajdhani Travels,348,06:02,Sleeper,09:40,19:58,2211,01-08-2025
Pune,Jaipur,Rajdhani Travels,1685,07:40,Seater,02:24,04:49,4119,07-07-2025
Aurangabad,Vadodara,SRS Travels,1905,02:39,Sleeper,20:25,22:23,4834,06-12-2025
Jalgaon,Chennai,Rajdhani Travels,1609,07:39,Luxury Coach,18:37,05:37,5158,26-01-2025
Pune,Chennai,Rajdhani Travels,641,12:52,Sleeper,14:43,00:14,6873,25-12-2025
Aurangabad,Bhopal,RedBus,574,03:03,Sleeper,04:01,14:48,5552,23-10-2025
Nashik,Vadodara,Rajdhani Travels,702,06:55,Sleeper,15:49,15:55,6240,24-02-2025
Mumbai,Hyderabad,VRL Travels,380,11:54,Seater,12:27,03:18,1888,13-04-2025
Nashik,Ahmedabad,SRS Travels,132,05:55,Luxury Coach,17:28,16:12,7185,20-01-2025
Amravati,Surat,RedBus,1929,12:41,Luxury Coach,05:39,13:14,1897,01-06-2025
Aurangabad,Goa,Rajdhani Travels,1058,11:29,Seater,16:09,19:29,2423,07-07-2025
Nagpur,Hyderabad,VRL Travels,1570,11:56,Sleeper,23:01,22:30,7473,20-05-2025
Aurangabad,Chennai,Rajdhani Travels,1334,04:22,Luxury Coach,19:49,15:26,7661,06-04-2025
Solapur,Indore,Rajdhani Travels,1260,07:06,Luxury Coach,15:37,08:56,6013,18-05-2025
Aurangabad,Udaipur,RedBus,709,12:19,Sleeper,05:46,10:33,705,24-03-2025
Mumbai,Goa,Rajdhani Travels,1741,01:36,Sleeper,19:46,12:06,5909,13-06-2025
Aurangabad,Chennai,Rajdhani Travels,463,12:21,Seater,06:03,20:10,3018,03-10-2025
Aurangabad,Jaipur,SRS Travels,456,01:39,Sleeper,02:42,00:50,5443,16-05-2025
Thane,Vadodara,Rajdhani Travels,880,11:00,Seater,19:48,19:33,1071,20-07-2025
Aurangabad,Vadodara,RedBus,1875,02:07,Luxury Coach,16:21,22:08,3958,03-02-2025
Nashik,Vadodara,RedBus,416,10:52,Seater,11:19,19:39,5629,28-02-2025
Nagpur,Surat,VRL Travels,1610,11:40,Sleeper,00:26,06:21,2582,28-06-2025
Solapur,Bhopal,SRS Travels,359,08:34,Luxury Coach,19:28,03:53,2500,10-02-2025
Pune,Surat,RedBus,870,09:49,Seater,15:54,10:01,6304,08-10-2025
Nashik,Hyderabad,VRL Travels,1724,12:32,Seater,18:04,23:36,4606,09-02-2025
Mumbai,Bhopal,RedBus,929,05:43,Sleeper,09:22,19:24,5232,30-08-2025
Nashik,Hyderabad,RedBus,656,02:28,Seater,02:42,19:07,1757,20-12-2025
Kolhapur,Vadodara,Rajdhani Travels,250,08:14,Seater,18:56,16:44,6517,13-11-2025
Nashik,Ahmedabad,RedBus,1318,10:20,Luxury Coach,02:36,17:31,2547,21-10-2025
Nagpur,Hyderabad,VRL Travels,1303,03:42,Luxury Coach,18:35,01:28,5946,11-12-2025
Amravati,Vadodara,Rajdhani Travels,1898,01:13,Seater,05:11,05:19,6644,09-10-2025
Amravati,Hyderabad,Rajdhani Travels,1657,12:30,Sleeper,06:26,22:34,3918,07-06-2025
Solapur,Surat,RedBus,978,08:15,Sleeper,08:42,23:58,7995,10-07-2025
Thane,Surat,RedBus,757,07:48,Sleeper,21:51,17:27,660,09-04-2025
Pune,Hyderabad,RedBus,392,04:32,Sleeper,08:07,22:16,2082,06-03-2025
Pune,Hyderabad,RedBus,769,03:33,Seater,09:13,02:14,6905,28-06-2025
Mumbai,Indore,Rajdhani Travels,1891,01:28,Luxury Coach,21:02,15:01,7130,07-08-2025
Solapur,Udaipur,Rajdhani Travels,1263,01:46,Seater,08:42,18:09,2649,08-12-2025
Nashik,Bhopal,VRL Travels,1072,04:09,Sleeper,19:30,09:37,6738,17-10-2025
Jalgaon,Chennai,Rajdhani Travels,866,08:29,Sleeper,18:21,16:06,4209,25-12-2025
Nagpur,Surat,SRS Travels,1252,11:38,Seater,15:51,10:46,3440,23-04-2025
Nashik,Goa,SRS Travels,199,04:45,Seater,13:54,17:23,462,05-04-2025
Amravati,Udaipur,SRS Travels,1703,10:40,Seater,13:52,07:14,7391,30-08-2025
Aurangabad,Ahmedabad,VRL Travels,1090,12:35,Sleeper,05:45,17:08,2076,13-08-2025
Nagpur,Ahmedabad,Rajdhani Travels,1981,09:30,Seater,06:37,01:19,6094,07-06-2025
Amravati,Goa,Rajdhani Travels,562,02:25,Seater,17:51,02:29,6245,30-05-2025
