Source,Destination,Flight Number,Airline,Duration,Departure Time,Arrival Time,Flight Type,Aircraft Type,Flight Category,Flight Price,Flight Date
Pune,Jaipur,AI880,IndiGo,03:52,14:08,01:17,International,Airbus A320,Luxury,5100,06-02-2025
Mumbai,Goa,AI691,Air India,01:56,10:46,19:16,Domestic,Embraer E175,Moderate,12565,15-06-2025
Jalgaon,Udaipur,AI411,GoAir,01:36,13:34,21:18,Domestic,Embraer E175,Moderate,13251,22-07-2025
Mumbai,Bhopal,AI903,IndiGo,02:20,01:51,23:09,International,Airbus A320,Economy,12333,02-08-2025
Kolhapur,Ahmedabad,AI579,SpiceJet,02:36,08:12,03:40,International,Embraer E175,Luxury,10617,03-09-2025
Solapur,Hyderabad,AI530,GoAir,01:43,10:08,14:18,International,ATR 72,Economy,19203,01-07-2025
Nagpur,Surat,AI137,GoAir,02:19,23:18,01:05,International,ATR 72,Economy,9090,08-04-2025
Solapur,Ahmedabad,AI300,SpiceJet,01:11,11:14,21:14,International,ATR 72,Moderate,15927,12-10-2025
Pune,Vadodara,AI171,Vistara,03:57,09:58,16:12,Domestic,ATR 72,Economy,8341,29-06-2025
Mumbai,Chennai,AI946,TruJet,02:13,19:05,23:27,International,Boeing 737,Moderate,14218,06-10-2025
Nashik,Vadodara,AI961,SpiceJet,02:55,07:26,22:43,Domestic,Airbus A320,Luxury,13845,07-10-2025
Amravati,Vadodara,AI763,SpiceJet,02:46,04:49,03:01,International,Airbus A320,Luxury,19901,15-09-2025
Pune,Hyderabad,AI798,TruJet,01:51,11:31,22:46,Domestic,ATR 72,Luxury,10522,29-01-2025
Thane,Hyderabad,AI865,IndiGo,02:33,09:47,22:47,International,ATR 72,Economy,5965,08-08-2025
Nagpur,Udaipur,AI658,Air India,02:31,04:57,00:47,International,Embraer E175,Moderate,13764,20-03-2025
Mumbai,Goa,AI405,Air India,02:57,17:48,04:46,Domestic,ATR 72,Economy,6236,09-12-2025
Pune,Goa,AI405,SpiceJet,01:40,15:23,08:02,International,Embraer E175,Moderate,17720,27-04-2025
Kolhapur,Goa,AI339,Vistara,03:39,06:07,12:56,International,Airbus A320,Moderate,14256,11-07-2025
Mumbai,Chennai,AI702,GoAir,01:38,15:02,13:17,Domestic,Boeing 737,Moderate,7942,02-03-2025
Thane,Chennai,AI397,GoAir,01:29,11:33,13:09,Domestic,ATR 72,Luxury,15303,06-09-2025
Nashik,Udaipur,AI731,TruJet,03:43,19:18,15:29,Domestic,ATR 72,Luxury,19880,30-11-2025
Kolhapur,Vadodara,AI863,SpiceJet,01:41,11:32,12:36,Domestic,ATR 72,Luxury,13612,13-02-2025
Kolhapur,Udaipur,AI462,SpiceJet,02:16,12:08,15:35,International,Boeing 737,Luxury,14288,15-06-2025
Nashik,Ahmedabad,AI624,SpiceJet,02:40,04:27,02:16,International,ATR 72,Luxury,11620,18-08-2025
Thane,Hyderabad,AI316,IndiGo,01:51,22:01,09:18,Domestic,Embraer E175,Moderate,11522,01-10-2025
Mumbai,Udaipur,AI373,Vistara,03:42,03:27,15:03,International,ATR 72,Economy,10084,30-11-2025
Aurangabad,Bhopal,AI731,Air India,01:29,21:39,03:39,International,ATR 72,Luxury,13816,22-02-2025
Solapur,Ahmedabad,AI778,GoAir,01:16,02:35,03:11,International,Airbus A320,Luxury,13050,03-02-2025
Amravati,Hyderabad,AI692,IndiGo,02:47,23:41,12:21,International,Airbus A320,Luxury,9154,05-04-2025
Mumbai,Jaipur,AI315,TruJet,03:18,04:07,05:50,International,ATR 72,Economy,11973,02-08-2025
Nagpur,Surat,AI692,GoAir,03:42,14:24,09:33,International,Embraer E175,Moderate,17060,19-06-2025
Pune,Vadodara,AI917,TruJet,03:07,23:22,20:01,Domestic,ATR 72,Luxury,17145,13-06-2025
Aurangabad,Udaipur,AI298,Air India,02:10,20:06,19:56,Domestic,Airbus A320,Economy,12825,01-02-2025
Pune,Hyderabad,AI554,IndiGo,01:05,21:27,18:22,International,Airbus A320,Economy,11276,26-06-2025
Aurangabad,Udaipur,AI348,TruJet,03:54,02:13,10:23,Domestic,ATR 72,Luxury,14096,01-02-2025
Aurangabad,Indore,AI161,SpiceJet,01:19,18:56,00:59,International,Embraer E175,Moderate,5040,26-10-2025
Aurangabad,Hyderabad,AI188,TruJet,01:14,02:25,23:33,International,Airbus A320,Economy,13500,18-02-2025
Kolhapur,Surat,AI673,SpiceJet,02:18,22:34,10:17,Domestic,Embraer E175,Moderate,18519,19-12-2025
Kolhapur,Bhopal,AI916,IndiGo,02:16,19:23,01:53,International,Airbus A320,Luxury,5202,02-03-2025
Amravati,Indore,AI764,Vistara,01:01,04:20,06:06,Domestic,Airbus A320,Economy,9615,25-11-2025
Amravati,Hyderabad,AI420,Vistara,02:14,15:41,17:58,International,ATR 72,Moderate,11020,05-12-2025
Solapur,Surat,AI473,IndiGo,03:21,10:31,14:13,Domestic,Boeing 737,Luxury,15438,31-07-2025
Amravati,Hyderabad,AI434,TruJet,03:51,17:08,03:55,Domestic,Boeing 737,Moderate,12265,21-09-2025
Amravati,Jaipur,AI574,SpiceJet,03:34,08:30,04:54,Domestic,Boeing 737,Luxury,8006,30-05-2025
Kolhapur,Goa,AI456,GoAir,02:33,14:54,19:59,International,Embraer E175,Economy,15350,12-09-2025
Nagpur,Vadodara,AI932,Vistara,01:38,23:45,18:26,International,Boeing 737,Luxury,13742,01-04-2025
Amravati,Chennai,AI765,Air India,02:12,19:09,14:02,International,Boeing 737,Moderate,14325,04-03-2025
Jalgaon,Jaipur,AI336,Air India,03:28,15:31,13:23,International,Embraer E175,Economy,18934,05-07-2025
Thane,Hyderabad,AI616,TruJet,03:13,19:39,23:41,Domestic,ATR 72,Moderate,16517,01-12-2025
Solapur,Surat,AI253,SpiceJet,01:28,02:36,22:00,Domestic,Airbus A320,Moderate,9782,06-12-2025
Jalgaon,Surat,AI277,GoAir,02:32,08:58,03:05,Domestic,Boeing 737,Moderate,7316,28-10-2025
Nashik,Indore,AI767,TruJet,02:44,22:41,03:28,International,Boeing 737,Moderate,18207,14-03-2025
Mumbai,Jaipur,AI913,SpiceJet,01:32,07:44,00:58,Domestic,Airbus A320,Luxury,15330,11-07-2025
Jalgaon,Bhopal,AI439,Vistara,01:03,08:39,00:00,Domestic,Embraer E175,Luxury,6052,16-01-2025
Amravati,Vadodara,AI231,Vistara,01:09,04:40,19:31,International,Boeing 737,Luxury,17534,05-01-2025
Aurangabad,Jaipur,AI822,IndiGo,03:40,14:35,17:56,Domestic,Boeing 737,Luxury,19773,04-07-2025
Nashik,Hyderabad,AI495,SpiceJet,03:32,23:24,05:39,Domestic,Embraer E175,Economy,9172,17-12-2025
Nagpur,Udaipur,AI379,IndiGo,02:10,08:11,23:35,International,Airbus A320,Economy,6494,22-08-2025
Kolhapur,Hyderabad,AI173,IndiGo,03:22,19:23,00:35,International,Airbus A320,Luxury,19845,02-12-2025
Thane,Indore,AI659,IndiGo,01:28,10:38,00:54,International,Airbus A320,Economy,10434,24-01-2025
Nashik,Ahmedabad,AI694,SpiceJet,02:58,23:57,04:22,Domestic,Airbus A320,Moderate,12957,25-08-2025
Thane,Jaipur,AI873,GoAir,01:49,15:32,13:57,International,Airbus A320,Moderate,13334,21-09-2025
Aurangabad,Jaipur,AI797,GoAir,01:35,21:00,14:37,Domestic,Embraer E175,Moderate,19020,04-07-2025
Nashik,Indore,AI916,IndiGo,02:13,20:11,14:18,Domestic,ATR 72,Economy,17125,27-11-2025
Nagpur,Chennai,AI118,SpiceJet,03:18,18:01,15:00,Domestic,ATR 72,Moderate,6254,29-12-2025
Amravati,Chennai,AI371,IndiGo,02:06,20:21,13:36,International,Boeing 737,Luxury,11970,11-01-2025
Thane,Indore,AI375,IndiGo,02:26,21:01,12:39,Domestic,Embraer E175,Moderate,7382,07-06-2025
Thane,Indore,AI797,GoAir,03:45,09:25,08:12,Domestic,ATR 72,Luxury,15609,03-07-2025
Nagpur,Udaipur,AI254,TruJet,02:35,22:01,18:41,Domestic,ATR 72,Luxury,15680,07-12-2025
Jalgaon,Indore,AI905,IndiGo,02:40,21:18,06:21,Domestic,ATR 72,Moderate,7046,22-05-2025
Kolhapur,Indore,AI357,GoAir,03:17,07:58,05:59,Domestic,Airbus A320,Economy,18235,15-05-2025
Kolhapur,Jaipur,AI955,Air India,01:23,01:38,19:58,International,Boeing 737,Luxury,12094,15-04-2025
Jalgaon,Ahmedabad,AI224,SpiceJet,03:22,23:28,13:07,Domestic,Airbus A320,Economy,14297,10-04-2025
Amravati,Vadodara,AI861,Air India,03:51,02:23,04:08,International,Boeing 737,Luxury,16611,21-05-2025
Nagpur,Hyderabad,AI366,GoAir,03:02,19:12,09:11,International,Embraer E175,Moderate,9239,30-05-2025
Amravati,Jaipur,AI108,TruJet,02:08,09:02,17:59,Domestic,Airbus A320,Economy,15843,04-09-2025
Thane,Jaipur,AI471,Air India,03:08,00:51,03:47,International,Airbus A320,Economy,8847,23-05-2025
Thane,Hyderabad,AI382,TruJet,03:52,21:20,09:49,Domestic,ATR 72,Luxury,13075,24-03-2025
Kolhapur,Hyderabad,AI383,Vistara,01:59,12:38,06:20,Domestic,ATR 72,Moderate,16451,07-07-2025
Aurangabad,Vadodara,AI875,Vistara,02:16,20:12,17:29,International,Boeing 737,Luxury,16730,20-03-2025
Solapur,Hyderabad,AI227,Vistara,02:32,19:14,22:37,Domestic,Boeing 737,Luxury,5547,27-02-2025
Jalgaon,Surat,AI352,TruJet,01:47,11:13,07:17,Domestic,Airbus A320,Economy,16120,28-09-2025
Mumbai,Surat,AI156,SpiceJet,01:36,22:21,09:50,International,ATR 72,Economy,13028,13-09-2025
Solapur,Ahmedabad,AI695,SpiceJet,01:46,21:02,01:34,Domestic,ATR 72,Economy,8769,06-08-2025
Aurangabad,Jaipur,AI952,TruJet,01:38,02:07,01:45,International,Boeing 737,Moderate,15196,03-07-2025
Nashik,Jaipur,AI877,IndiGo,02:16,20:18,15:26,Domestic,Boeing 737,Moderate,18363,05-11-2025
Aurangabad,Surat,AI469,TruJet,03:12,05:39,12:50,Domestic,Airbus A320,Economy,15478,01-07-2025
Nashik,Vadodara,AI407,Vistara,02:58,15:20,11:13,International,Boeing 737,Economy,5340,09-02-2025
Pune,Bhopal,AI294,Air India,01:58,14:01,03:36,Domestic,Boeing 737,Moderate,12749,14-08-2025
Solapur,Indore,AI388,SpiceJet,01:39,00:32,04:25,Domestic,Embraer E175,Economy,13967,28-10-2025
Amravati,Vadodara,AI666,GoAir,03:56,12:04,16:49,Domestic,Boeing 737,Luxury,10303,07-02-2025
Thane,Surat,AI401,Air India,01:52,06:37,17:58,International,Airbus A320,Moderate,15541,21-07-2025
Thane,Surat,AI534,Air India,03:41,19:59,00:22,Domestic,ATR 72,Luxury,11973,27-08-2025
Pune,Chennai,AI410,Vistara,01:54,21:59,14:10,Domestic,ATR 72,Moderate,14980,16-06-2025
Amravati,Ahmedabad,AI392,IndiGo,01:36,21:18,20:39,Domestic,Embraer E175,Moderate,5291,06-08-2025
Jalgaon,Jaipur,AI613,TruJet,03:04,23:58,00:19,International,Embraer E175,Moderate,18596,01-06-2025
Mumbai,Hyderabad,AI237,TruJet,02:49,22:04,12:22,Domestic,Boeing 737,Moderate,16985,12-01-2025
Amravati,Bhopal,AI556,IndiGo,01:58,13:50,20:18,International,Airbus A320,Economy,6527,12-07-2025
Nashik,Hyderabad,AI720,Air India,01:12,23:38,07:10,International,ATR 72,Moderate,11903,02-09-2025
Solapur,Jaipur,AI773,Vistara,02:57,23:59,19:20,International,Airbus A320,Economy,18345,28-07-2025
Solapur,Hyderabad,AI903,SpiceJet,03:42,10:40,21:39,Domestic,Embraer E175,Economy,6147,11-11-2025
Mumbai,Hyderabad,AI797,Air India,01:36,06:30,07:51,Domestic,ATR 72,Economy,7837,18-09-2025
Pune,Udaipur,AI557,Air India,03:04,06:38,00:50,Domestic,Airbus A320,Economy,19540,24-11-2025
Pune,Ahmedabad,AI510,IndiGo,02:46,12:42,09:16,Domestic,Boeing 737,Luxury,5300,08-01-2025
Jalgaon,Hyderabad,AI722,IndiGo,02:08,02:10,09:58,International,Embraer E175,Moderate,10514,18-08-2025
Mumbai,Surat,AI579,TruJet,01:04,01:32,03:06,International,Airbus A320,Economy,12361,31-03-2025
Pune,Goa,AI961,GoAir,03:20,21:12,20:42,International,Embraer E175,Luxury,17591,04-04-2025
Thane,Udaipur,AI139,GoAir,03:42,04:52,06:43,Domestic,Boeing 737,Moderate,19539,23-06-2025
Solapur,Vadodara,AI979,TruJet,02:00,22:12,03:22,Domestic,ATR 72,Moderate,18578,28-11-2025
Solapur,Goa,AI358,SpiceJet,02:55,11:25,07:03,International,ATR 72,Moderate,5442,22-11-2025
Pune,Goa,AI710,Vistara,02:17,03:00,20:28,Domestic,ATR 72,Moderate,17711,03-12-2025
Mumbai,Surat,AI944,Vistara,03:47,03:44,16:40,International,Embraer E175,Moderate,13208,06-09-2025
Kolhapur,Ahmedabad,AI300,Air India,02:15,00:10,20:44,International,Boeing 737,Luxury,11926,08-10-2025
Thane,Indore,AI273,Air India,03:09,12:38,16:07,International,Boeing 737,Economy,19024,26-03-2025
Aurangabad,Goa,AI442,TruJet,01:31,03:06,18:44,International,Boeing 737,Economy,13231,20-05-2025
Kolhapur,Chennai,AI954,TruJet,01:59,04:03,16:48,International,Boeing 737,Economy,15350,12-06-2025
Pune,Jaipur,AI149,GoAir,03:20,03:29,22:58,Domestic,Boeing 737,Moderate,12912,08-05-2025
Nashik,Jaipur,AI670,TruJet,03:42,15:32,04:25,Domestic,Airbus A320,Economy,18575,21-03-2025
Thane,Ahmedabad,AI715,GoAir,01:28,02:53,22:43,International,Airbus A320,Luxury,19148,24-12-2025
Amravati,Surat,AI133,IndiGo,02:56,01:33,02:06,International,Airbus A320,Moderate,13215,21-10-2025
Mumbai,Surat,AI496,GoAir,03:38,09:07,11:06,Domestic,Embraer E175,Moderate,15698,22-03-2025
Mumbai,Chennai,AI963,Air India,01:23,21:20,05:16,International,Airbus A320,Luxury,10553,02-08-2025
Solapur,Hyderabad,AI881,GoAir,03:47,22:52,05:59,International,Embraer E175,Luxury,14421,11-12-2025
Amravati,Vadodara,AI342,SpiceJet,01:19,01:17,21:07,International,Airbus A320,Luxury,9544,02-06-2025
Solapur,Bhopal,AI225,IndiGo,01:30,00:25,07:20,Domestic,ATR 72,Luxury,15489,01-03-2025
Jalgaon,Chennai,AI664,Vistara,02:45,17:16,14:23,Domestic,Airbus A320,Economy,8424,06-12-2025
Mumbai,Chennai,AI796,GoAir,01:49,06:31,19:51,International,Embraer E175,Economy,5747,30-09-2025
Aurangabad,Surat,AI228,SpiceJet,03:50,17:17,16:55,International,Boeing 737,Moderate,6844,30-01-2025
Thane,Indore,AI653,SpiceJet,01:53,21:23,20:57,International,Boeing 737,Economy,14052,17-09-2025
Solapur,Goa,AI173,IndiGo,03:29,11:51,06:06,International,Boeing 737,Economy,7589,09-03-2025
Solapur,Hyderabad,AI580,IndiGo,01:51,06:29,08:00,International,Boeing 737,Moderate,11103,29-04-2025
Jalgaon,Bhopal,AI379,Vistara,02:18,06:45,05:03,International,Boeing 737,Economy,15450,20-01-2025
Mumbai,Bhopal,AI101,Air India,03:07,21:38,07:49,International,Airbus A320,Luxury,11933,20-08-2025
Jalgaon,Goa,AI103,IndiGo,01:35,18:59,17:50,International,Boeing 737,Luxury,14371,05-10-2025
Nashik,Bhopal,AI850,SpiceJet,02:31,20:31,03:36,Domestic,Boeing 737,Luxury,16262,13-02-2025
Aurangabad,Hyderabad,AI519,Vistara,03:36,13:43,19:29,Domestic,Airbus A320,Luxury,19128,25-07-2025
Amravati,Hyderabad,AI292,Vistara,02:16,23:29,19:16,International,Boeing 737,Economy,8253,24-09-2025
Pune,Ahmedabad,AI556,Air India,02:22,13:34,14:16,Domestic,ATR 72,Economy,19337,17-09-2025
Aurangabad,Udaipur,AI247,Vistara,03:07,04:19,22:11,International,Embraer E175,Luxury,19267,12-06-2025
Mumbai,Surat,AI214,IndiGo,03:05,16:27,19:44,Domestic,Boeing 737,Moderate,14384,28-10-2025
Pune,Udaipur,AI936,Air India,03:15,04:53,18:32,International,Boeing 737,Luxury,14990,20-03-2025
Aurangabad,Surat,AI902,Air India,02:23,00:35,01:23,Domestic,Boeing 737,Luxury,8642,24-02-2025
Thane,Surat,AI286,Vistara,01:13,02:13,13:31,International,Embraer E175,Moderate,18504,12-09-2025
Nagpur,Chennai,AI912,GoAir,03:48,02:23,02:43,Domestic,Embraer E175,Economy,5273,16-07-2025
Nashik,Goa,AI807,TruJet,01:34,13:23,19:45,International,Airbus A320,Luxury,18639,10-10-2025
Jalgaon,Chennai,AI103,SpiceJet,02:17,08:49,12:17,Domestic,Airbus A320,Luxury,19414,17-01-2025
Jalgaon,Udaipur,AI808,IndiGo,02:18,01:30,00:43,International,Boeing 737,Luxury,14873,19-01-2025
Mumbai,Surat,AI915,TruJet,01:33,03:50,18:28,International,Embraer E175,Moderate,16715,26-05-2025
Amravati,Goa,AI558,Vistara,02:16,02:43,07:44,International,Boeing 737,Moderate,10486,10-04-2025
Mumbai,Vadodara,AI800,TruJet,03:01,03:03,09:50,Domestic,Boeing 737,Moderate,12796,15-03-2025
Thane,Chennai,AI460,TruJet,02:59,14:14,02:11,International,Embraer E175,Economy,17618,17-02-2025
Nashik,Hyderabad,AI627,TruJet,01:35,19:25,15:29,International,Airbus A320,Moderate,8362,20-02-2025
Pune,Hyderabad,AI319,IndiGo,01:33,01:24,07:26,International,Boeing 737,Moderate,16616,21-11-2025
Solapur,Ahmedabad,AI981,SpiceJet,01:24,08:50,11:46,Domestic,Boeing 737,Economy,14132,14-06-2025
Aurangabad,Jaipur,AI604,IndiGo,01:33,18:35,09:44,Domestic,ATR 72,Luxury,6740,04-11-2025
Aurangabad,Chennai,AI358,Vistara,02:31,03:16,08:54,International,Airbus A320,Luxury,16000,12-05-2025
Amravati,Udaipur,AI215,Air India,02:18,20:49,21:50,Domestic,Boeing 737,Luxury,13874,06-03-2025
Kolhapur,Udaipur,AI801,Air India,02:24,23:42,08:18,Domestic,Boeing 737,Economy,14387,02-10-2025
Nagpur,Chennai,AI118,SpiceJet,02:08,06:17,18:21,International,Airbus A320,Economy,19166,10-12-2025
Aurangabad,Ahmedabad,AI449,TruJet,02:41,14:48,16:55,International,ATR 72,Moderate,16491,29-07-2025
Nagpur,Chennai,AI993,TruJet,02:18,05:47,18:42,Domestic,Boeing 737,Economy,17283,24-09-2025
Pune,Vadodara,AI556,TruJet,03:49,12:07,00:18,International,Boeing 737,Moderate,7233,26-05-2025
Thane,Udaipur,AI275,IndiGo,02:41,14:17,10:35,International,Embraer E175,Luxury,11621,13-02-2025
Pune,Chennai,AI368,IndiGo,01:47,01:05,01:29,Domestic,Airbus A320,Economy,12973,30-05-2025
Solapur,Udaipur,AI392,Vistara,02:53,21:36,12:15,International,Airbus A320,Moderate,18036,23-09-2025
Thane,Goa,AI807,GoAir,01:41,19:53,13:10,International,ATR 72,Moderate,19571,30-06-2025
Aurangabad,Vadodara,AI915,GoAir,03:50,19:05,11:28,International,Boeing 737,Moderate,9797,19-03-2025
Mumbai,Udaipur,AI386,IndiGo,03:30,06:31,01:55,International,ATR 72,Moderate,19115,12-09-2025
Nashik,Jaipur,AI114,IndiGo,01:09,18:00,20:19,International,Embraer E175,Economy,11239,02-11-2025
Aurangabad,Goa,AI554,Air India,03:19,21:26,14:38,Domestic,Airbus A320,Moderate,17415,12-03-2025
Aurangabad,Jaipur,AI328,SpiceJet,01:57,21:10,01:47,International,Boeing 737,Economy,19275,01-08-2025
Aurangabad,Udaipur,AI183,TruJet,02:21,00:25,08:03,Domestic,ATR 72,Moderate,18743,10-11-2025
Thane,Jaipur,AI757,Air India,03:50,00:15,15:52,Domestic,ATR 72,Economy,6660,21-06-2025
Solapur,Jaipur,AI339,Vistara,03:12,14:57,21:50,Domestic,ATR 72,Luxury,17786,21-12-2025
Pune,Udaipur,AI517,Vistara,02:06,22:09,00:06,International,ATR 72,Moderate,18130,02-01-2025
Jalgaon,Hyderabad,AI630,SpiceJet,03:29,07:15,03:30,International,Embraer E175,Economy,16929,06-11-2025
Solapur,Goa,AI911,SpiceJet,02:03,08:10,04:07,Domestic,ATR 72,Luxury,10604,30-01-2025
Thane,Surat,AI954,IndiGo,02:59,06:41,22:22,International,Embraer E175,Economy,11432,19-11-2025
Aurangabad,Jaipur,AI452,Air India,01:33,01:44,10:40,Domestic,Boeing 737,Moderate,8796,11-08-2025
Amravati,Jaipur,AI458,SpiceJet,03:57,04:39,19:51,International,Boeing 737,Luxury,17880,28-06-2025
Mumbai,Udaipur,AI936,GoAir,01:45,13:22,21:14,International,ATR 72,Moderate,18080,27-02-2025
Nashik,Indore,AI193,Vistara,02:42,04:24,20:10,International,ATR 72,Moderate,19138,23-10-2025
Amravati,Vadodara,AI122,Vistara,03:53,13:42,03:14,Domestic,Embraer E175,Luxury,14161,13-09-2025
Thane,Chennai,AI853,Vistara,03:19,08:14,03:56,International,Embraer E175,Luxury,14823,07-07-2025
Amravati,Indore,AI408,SpiceJet,01:57,02:05,19:31,International,ATR 72,Economy,10374,17-09-2025
Pune,Bhopal,AI396,IndiGo,01:00,19:00,04:31,Domestic,Embraer E175,Economy,14268,05-02-2025
Solapur,Bhopal,AI160,IndiGo,01:14,19:06,23:55,International,Embraer E175,Economy,8697,01-08-2025
Mumbai,Ahmedabad,AI275,IndiGo,02:45,02:30,15:25,Domestic,Boeing 737,Luxury,7944,25-04-2025
Mumbai,Ahmedabad,AI577,TruJet,01:47,18:39,11:18,International,Boeing 737,Economy,6744,10-11-2025
Amravati,Goa,AI694,TruJet,02:31,02:43,10:46,International,Airbus A320,Economy,16332,28-06-2025
Amravati,Chennai,AI504,GoAir,01:05,19:11,00:13,Domestic,ATR 72,Economy,15117,19-06-2025
Pune,Udaipur,AI677,IndiGo,03:27,03:34,20:10,Domestic,Boeing 737,Moderate,19560,18-02-2025
Aurangabad,Ahmedabad,AI553,TruJet,02:59,21:54,10:27,International,Embraer E175,Economy,10649,10-03-2025
Nagpur,Vadodara,AI954,SpiceJet,03:22,19:58,07:30,Domestic,ATR 72,Economy,13742,04-12-2025
Nashik,Surat,AI334,SpiceJet,03:44,10:38,09:52,Domestic,Airbus A320,Luxury,17400,08-12-2025
Kolhapur,Goa,AI375,TruJet,02:39,00:48,04:20,Domestic,Airbus A320,Moderate,6176,07-12-2025
Amravati,Bhopal,AI426,GoAir,02:15,06:32,21:36,Domestic,Embraer E175,Luxury,15803,11-04-2025
Thane,Bhopal,AI424,IndiGo,02:03,13:39,11:01,Domestic,ATR 72,Moderate,11481,07-11-2025
Mumbai,Chennai,AI212,TruJet,01:16,17:30,05:07,International,Embraer E175,Luxury,9382,09-08-2025
Aurangabad,Indore,AI715,GoAir,02:21,17:58,03:36,Domestic,Embraer E175,Luxury,17576,01-01-2025
Jalgaon,Bhopal,AI250,TruJet,02:59,21:10,11:11,International,Boeing 737,Economy,14599,08-07-2025
Mumbai,Vadodara,AI498,SpiceJet,02:11,01:46,12:33,International,Boeing 737,Economy,12135,26-08-2025
Nagpur,Goa,AI460,Vistara,02:39,05:10,08:46,Domestic,ATR 72,Luxury,17132,24-03-2025
Thane,Ahmedabad,AI250,Vistara,02:30,02:03,05:03,Domestic,Embraer E175,Luxury,7530,26-07-2025
Nagpur,Surat,AI379,IndiGo,03:56,23:56,21:28,Domestic,Embraer E175,Moderate,17546,08-06-2025
Mumbai,Hyderabad,AI456,Air India,02:37,06:41,00:10,Domestic,Boeing 737,Economy,8334,19-01-2025
Amravati,Indore,AI475,IndiGo,02:46,21:19,01:31,International,ATR 72,Luxury,16660,04-05-2025
Kolhapur,Chennai,AI547,GoAir,02:35,14:09,06:34,International,ATR 72,Luxury,14529,19-06-2025
Aurangabad,Bhopal,AI972,IndiGo,02:14,01:14,03:06,Domestic,Embraer E175,Moderate,18924,26-09-2025
Aurangabad,Vadodara,AI308,TruJet,03:01,07:07,15:45,Domestic,Boeing 737,Economy,7581,14-07-2025
Mumbai,Hyderabad,AI474,Vistara,01:58,12:15,10:22,Domestic,ATR 72,Luxury,17501,15-09-2025
Nagpur,Jaipur,AI598,IndiGo,02:13,05:59,18:51,International,Embraer E175,Moderate,16444,25-04-2025
Thane,Surat,AI572,IndiGo,03:34,01:00,19:19,Domestic,Boeing 737,Moderate,8206,13-09-2025
Solapur,Chennai,AI741,SpiceJet,03:19,11:26,14:20,Domestic,Embraer E175,Moderate,15434,04-04-2025
Solapur,Jaipur,AI691,IndiGo,03:26,16:43,00:14,International,Embraer E175,Economy,12810,07-09-2025
Jalgaon,Jaipur,AI527,TruJet,03:59,19:09,19:49,International,ATR 72,Economy,18751,31-10-2025
Aurangabad,Jaipur,AI553,GoAir,03:22,18:01,10:23,Domestic,Embraer E175,Luxury,17869,29-07-2025
Nashik,Udaipur,AI810,SpiceJet,01:45,07:27,18:47,International,Embraer E175,Moderate,14711,17-07-2025
Aurangabad,Goa,AI323,SpiceJet,03:04,23:36,03:44,Domestic,ATR 72,Luxury,5438,22-02-2025
Pune,Udaipur,AI228,Air India,01:06,20:57,06:11,International,Airbus A320,Moderate,18848,17-05-2025
Solapur,Chennai,AI530,GoAir,01:45,08:37,14:17,International,Embraer E175,Moderate,12089,11-09-2025
Kolhapur,Ahmedabad,AI527,Air India,02:34,18:35,02:56,International,Airbus A320,Luxury,12483,01-08-2025
Pune,Jaipur,AI625,Air India,01:30,22:49,23:08,Domestic,ATR 72,Moderate,18784,07-07-2025
Aurangabad,Vadodara,AI930,SpiceJet,03:37,18:54,08:44,International,Airbus A320,Luxury,16857,06-12-2025
Jalgaon,Chennai,AI825,GoAir,01:26,13:16,20:03,International,Airbus A320,Moderate,6868,26-01-2025
