From,To,Train Name,Train No,Duration,Type,Departure Time,Arrival Time,Price Category,Train Price,Train Date
Nagpur,Surat,Surat Express,82732,20:01,Passenger,19:16,05:01,Moderate,423,19-06-2025
Pune,Vadodara,Vadodara Express,86959,05:36,Passenger,14:49,03:10,Luxury,897,13-06-2025
Aurangabad,Udaipur,Udaipur Express,83669,08:14,Express,04:01,05:32,Economy,513,01-02-2025
Pune,Hyderabad,Hyderabad Express,87835,11:54,Express,16:55,00:37,Economy,348,26-06-2025
Aurangabad,Udaipur,Udaipur Express,86741,09:37,Express,00:04,14:09,Luxury,753,01-02-2025
Aurangabad,Indore,Indore Express,84843,11:20,Passenger,10:39,17:46,Moderate,367,26-10-2025
Aurangabad,Hyderabad,Hyderabad Express,86789,11:12,Passenger,06:56,03:36,Economy,323,18-02-2025
Kolhapur,Surat,Surat Express,88300,09:58,Express,12:05,13:38,Moderate,572,19-12-2025
Kolhapur,Bhopal,Bhopal Express,82804,11:40,Passenger,03:21,08:17,Luxury,755,02-03-2025
Amravati,Indore,Indore Express,85779,12:12,Passenger,18:59,16:44,Economy,433,25-11-2025
Amravati,Hyderabad,Hyderabad Express,80457,20:27,Superfast,05:14,05:34,Moderate,413,05-12-2025
Solapur,Surat,Surat Express,85279,01:52,Express,22:49,05:37,Luxury,673,31-07-2025
Amravati,Hyderabad,Hyderabad Express,89256,06:28,Express,20:12,06:40,Moderate,916,21-09-2025
Amravati,Jaipur,Jaipur Express,84644,08:33,Express,23:56,12:39,Luxury,767,30-05-2025
Kolhapur,Goa,Goa Express,84639,19:27,Superfast,15:11,14:54,Economy,595,12-09-2025
Nagpur,Vadodara,Vadodara Express,87924,10:23,Superfast,23:48,07:36,Luxury,168,01-04-2025
Amravati,Chennai,Chennai Express,81045,01:57,Passenger,10:00,16:15,Moderate,359,04-03-2025
Jalgaon,Jaipur,Jaipur Express,82255,19:39,Express,23:06,02:01,Economy,535,05-07-2025
Thane,Hyderabad,Hyderabad Express,81497,15:40,Express,16:44,14:37,Moderate,279,01-12-2025
Solapur,Surat,Surat Express,87955,02:29,Express,02:48,00:53,Moderate,544,06-12-2025
Jalgaon,Surat,Surat Express,84169,09:01,Passenger,19:27,09:27,Moderate,572,28-10-2025
Nashik,Indore,Indore Express,89658,09:28,Superfast,20:03,15:52,Moderate,252,14-03-2025
Mumbai,Jaipur,Jaipur Express,80127,16:08,Express,18:40,05:54,Luxury,224,11-07-2025
Jalgaon,Bhopal,Bhopal Express,81062,18:21,Passenger,20:48,13:47,Luxury,222,16-01-2025
Amravati,Vadodara,Vadodara Express,83218,15:25,Passenger,09:02,11:59,Luxury,566,05-01-2025
Aurangabad,Jaipur,Jaipur Express,88488,04:43,Passenger,19:42,10:46,Luxury,481,04-07-2025
Nashik,Hyderabad,Hyderabad Express,80532,19:35,Superfast,01:20,14:53,Economy,383,17-12-2025
Nagpur,Udaipur,Udaipur Express,85683,14:34,Express,10:15,23:06,Economy,720,22-08-2025
Kolhapur,Hyderabad,Hyderabad Express,89909,17:44,Express,04:49,10:38,Luxury,317,02-12-2025
Thane,Indore,Indore Express,85710,02:41,Superfast,19:50,16:27,Economy,514,24-01-2025
Nashik,Ahmedabad,Ahmedabad Express,85915,03:57,Express,17:27,18:53,Moderate,531,25-08-2025
Thane,Jaipur,Jaipur Express,81611,20:28,Superfast,21:03,22:57,Moderate,130,21-09-2025
Aurangabad,Jaipur,Jaipur Express,84469,11:49,Passenger,15:16,14:53,Moderate,693,04-07-2025
Nashik,Indore,Indore Express,87827,15:14,Passenger,15:49,00:18,Economy,716,27-11-2025
Nagpur,Chennai,Chennai Express,81024,20:20,Passenger,17:10,14:27,Moderate,741,29-12-2025
Amravati,Chennai,Chennai Express,81084,18:01,Superfast,10:27,09:05,Luxury,643,11-01-2025
Thane,Indore,Indore Express,81884,06:50,Passenger,06:50,12:08,Moderate,482,07-06-2025
Thane,Indore,Indore Express,83030,16:44,Passenger,23:06,10:08,Luxury,871,03-07-2025
Nagpur,Udaipur,Udaipur Express,87061,05:33,Superfast,23:31,09:22,Luxury,351,07-12-2025
Jalgaon,Indore,Indore Express,88838,04:37,Passenger,19:40,05:29,Moderate,298,22-05-2025
Kolhapur,Indore,Indore Express,82140,17:17,Express,06:48,01:34,Economy,261,15-05-2025
Kolhapur,Jaipur,Jaipur Express,80318,09:16,Express,22:27,12:05,Luxury,538,15-04-2025
Jalgaon,Ahmedabad,Ahmedabad Express,83622,16:36,Express,13:10,14:26,Economy,187,10-04-2025
Amravati,Vadodara,Vadodara Express,80302,19:43,Express,21:43,00:52,Luxury,706,21-05-2025
Nagpur,Hyderabad,Hyderabad Express,81407,13:54,Passenger,18:07,14:35,Moderate,461,30-05-2025
Amravati,Jaipur,Jaipur Express,85718,08:08,Superfast,17:52,15:02,Economy,401,04-09-2025
Thane,Jaipur,Jaipur Express,83613,12:02,Express,07:58,22:19,Economy,746,23-05-2025
Thane,Hyderabad,Hyderabad Express,84052,17:30,Superfast,05:11,15:38,Luxury,478,24-03-2025
Kolhapur,Hyderabad,Hyderabad Express,84761,20:03,Superfast,15:14,12:20,Moderate,375,07-07-2025
Aurangabad,Vadodara,Vadodara Express,84230,06:25,Passenger,14:16,22:16,Luxury,363,20-03-2025
Solapur,Hyderabad,Hyderabad Express,84885,15:29,Superfast,09:42,22:54,Luxury,146,27-02-2025
Jalgaon,Surat,Surat Express,85514,20:30,Passenger,21:24,16:48,Economy,200,28-09-2025
Mumbai,Surat,Surat Express,80014,02:35,Express,11:56,00:14,Economy,717,13-09-2025
Solapur,Ahmedabad,Ahmedabad Express,89240,10:02,Superfast,00:31,01:55,Economy,714,06-08-2025
Aurangabad,Jaipur,Jaipur Express,82940,02:52,Passenger,09:08,12:30,Moderate,953,03-07-2025
Nashik,Jaipur,Jaipur Express,82117,02:59,Superfast,06:16,15:14,Moderate,209,05-11-2025
Aurangabad,Surat,Surat Express,86899,03:22,Superfast,21:06,08:27,Economy,796,01-07-2025
Nashik,Vadodara,Vadodara Express,82213,01:41,Express,18:18,15:26,Economy,155,09-02-2025
Pune,Bhopal,Bhopal Express,88667,17:58,Superfast,14:57,16:14,Moderate,381,14-08-2025
Solapur,Indore,Indore Express,83879,14:47,Express,22:37,17:50,Economy,492,28-10-2025
Amravati,Vadodara,Vadodara Express,81053,19:52,Superfast,21:01,01:52,Luxury,974,07-02-2025
Thane,Surat,Surat Express,82899,02:18,Express,06:05,02:38,Moderate,236,21-07-2025
Thane,Surat,Surat Express,89092,13:18,Superfast,20:23,11:14,Luxury,244,27-08-2025
Pune,Chennai,Chennai Express,89218,20:20,Superfast,13:06,05:38,Moderate,587,16-06-2025
Amravati,Ahmedabad,Ahmedabad Express,85955,11:22,Express,05:16,02:32,Moderate,881,06-08-2025
Jalgaon,Jaipur,Jaipur Express,80649,09:29,Express,13:15,04:17,Moderate,697,01-06-2025
Mumbai,Hyderabad,Hyderabad Express,86582,01:52,Passenger,04:32,16:36,Moderate,309,12-01-2025
Amravati,Bhopal,Bhopal Express,81629,13:52,Superfast,17:10,22:20,Economy,591,12-07-2025
Nashik,Hyderabad,Hyderabad Express,83467,07:13,Superfast,19:26,14:18,Moderate,626,02-09-2025
Solapur,Jaipur,Jaipur Express,84523,04:45,Express,03:09,20:40,Economy,955,28-07-2025
Solapur,Hyderabad,Hyderabad Express,84411,04:39,Express,21:03,06:58,Economy,409,11-11-2025
Mumbai,Hyderabad,Hyderabad Express,83601,09:12,Passenger,13:48,01:29,Economy,462,18-09-2025
Pune,Udaipur,Udaipur Express,89387,06:37,Superfast,20:44,16:23,Economy,942,24-11-2025
Pune,Ahmedabad,Ahmedabad Express,86176,17:23,Passenger,01:14,13:20,Luxury,515,08-01-2025
Jalgaon,Hyderabad,Hyderabad Express,89201,14:52,Superfast,21:50,14:17,Moderate,755,18-08-2025
Mumbai,Surat,Surat Express,88714,04:08,Superfast,04:41,15:38,Economy,958,31-03-2025
Pune,Goa,Goa Express,89858,04:32,Express,18:05,03:46,Luxury,480,04-04-2025
Thane,Udaipur,Udaipur Express,88177,12:55,Passenger,08:22,05:22,Moderate,366,23-06-2025
Solapur,Vadodara,Vadodara Express,84538,07:35,Passenger,11:45,14:07,Moderate,814,28-11-2025
Solapur,Goa,Goa Express,85884,11:36,Express,18:22,06:56,Moderate,306,22-11-2025
Pune,Goa,Goa Express,89716,16:33,Superfast,11:49,08:14,Moderate,659,03-12-2025
Mumbai,Surat,Surat Express,83721,20:49,Passenger,16:10,18:50,Moderate,499,06-09-2025
Kolhapur,Ahmedabad,Ahmedabad Express,81484,12:53,Superfast,02:57,21:39,Luxury,203,08-10-2025
Thane,Indore,Indore Express,87812,20:03,Express,04:27,09:26,Economy,862,26-03-2025
Aurangabad,Goa,Goa Express,83037,15:06,Superfast,20:14,16:03,Economy,825,20-05-2025
Kolhapur,Chennai,Chennai Express,88360,18:08,Superfast,04:39,16:37,Economy,302,12-06-2025
Pune,Jaipur,Jaipur Express,83465,20:58,Express,10:22,18:59,Moderate,468,08-05-2025
Nashik,Jaipur,Jaipur Express,80511,04:45,Express,16:43,23:38,Economy,805,21-03-2025
Thane,Ahmedabad,Ahmedabad Express,87722,07:40,Superfast,20:59,20:08,Luxury,362,24-12-2025
Amravati,Surat,Surat Express,83456,11:29,Express,01:53,17:13,Moderate,863,21-10-2025
Mumbai,Surat,Surat Express,89842,12:15,Superfast,09:36,12:52,Moderate,211,22-03-2025
Mumbai,Chennai,Chennai Express,84053,10:44,Passenger,07:45,20:52,Luxury,648,02-08-2025
Solapur,Hyderabad,Hyderabad Express,82637,20:52,Passenger,07:25,08:22,Luxury,719,11-12-2025
Amravati,Vadodara,Vadodara Express,83087,02:01,Express,22:32,06:59,Luxury,515,02-06-2025
Solapur,Bhopal,Bhopal Express,87736,15:00,Passenger,19:52,14:01,Luxury,894,01-03-2025
Jalgaon,Chennai,Chennai Express,81292,12:06,Passenger,03:54,09:14,Economy,202,06-12-2025
Mumbai,Chennai,Chennai Express,86285,06:57,Passenger,01:01,08:59,Economy,697,30-09-2025
Aurangabad,Surat,Surat Express,80207,19:07,Passenger,14:30,04:57,Moderate,477,30-01-2025
Thane,Indore,Indore Express,80115,03:00,Express,18:21,08:28,Economy,802,17-09-2025
Solapur,Goa,Goa Express,87273,11:29,Superfast,04:07,23:19,Economy,279,09-03-2025
Solapur,Hyderabad,Hyderabad Express,89805,01:36,Passenger,12:18,13:51,Moderate,299,29-04-2025
Jalgaon,Bhopal,Bhopal Express,80910,08:54,Superfast,15:35,19:27,Economy,969,20-01-2025
Mumbai,Bhopal,Bhopal Express,81568,06:48,Superfast,03:29,18:42,Luxury,831,20-08-2025
Jalgaon,Goa,Goa Express,83870,05:20,Superfast,11:48,10:24,Luxury,625,05-10-2025
Nashik,Bhopal,Bhopal Express,88492,19:34,Superfast,17:48,02:34,Luxury,702,13-02-2025
Aurangabad,Hyderabad,Hyderabad Express,81225,11:15,Passenger,08:56,09:28,Luxury,561,25-07-2025
Amravati,Hyderabad,Hyderabad Express,85974,04:22,Superfast,09:55,03:37,Economy,374,24-09-2025
Pune,Ahmedabad,Ahmedabad Express,81017,04:33,Express,04:35,16:18,Economy,223,17-09-2025
Aurangabad,Udaipur,Udaipur Express,88311,18:02,Passenger,08:29,11:24,Luxury,986,12-06-2025
Mumbai,Surat,Surat Express,89769,04:12,Express,14:42,20:08,Moderate,538,28-10-2025
Pune,Udaipur,Udaipur Express,88025,04:13,Express,04:14,13:39,Luxury,707,20-03-2025
Aurangabad,Surat,Surat Express,84367,01:03,Superfast,01:53,11:12,Luxury,437,24-02-2025
Thane,Surat,Surat Express,81968,17:44,Superfast,22:54,11:56,Moderate,184,12-09-2025
Nagpur,Chennai,Chennai Express,85449,11:55,Express,22:59,00:43,Economy,158,16-07-2025
Nashik,Goa,Goa Express,80187,12:21,Passenger,01:03,01:31,Luxury,119,10-10-2025
Jalgaon,Chennai,Chennai Express,83510,17:53,Passenger,22:36,07:46,Luxury,652,17-01-2025
Jalgaon,Udaipur,Udaipur Express,86369,01:07,Express,10:09,01:03,Luxury,116,19-01-2025
Mumbai,Surat,Surat Express,88251,17:35,Superfast,20:19,04:34,Moderate,678,26-05-2025
Amravati,Goa,Goa Express,88176,01:21,Express,23:02,01:30,Moderate,270,10-04-2025
Mumbai,Vadodara,Vadodara Express,84763,09:48,Superfast,17:52,21:24,Moderate,610,15-03-2025
Thane,Chennai,Chennai Express,89582,16:29,Passenger,19:54,18:22,Economy,171,17-02-2025
Nashik,Hyderabad,Hyderabad Express,88032,11:06,Passenger,06:55,04:25,Moderate,450,20-02-2025
Pune,Hyderabad,Hyderabad Express,85910,12:13,Passenger,01:28,16:36,Moderate,519,21-11-2025
Solapur,Ahmedabad,Ahmedabad Express,85424,15:36,Superfast,06:39,13:01,Economy,691,14-06-2025
Aurangabad,Jaipur,Jaipur Express,81621,10:28,Passenger,23:38,16:48,Luxury,892,04-11-2025
Aurangabad,Chennai,Chennai Express,82231,03:41,Superfast,09:21,03:15,Luxury,357,12-05-2025
Amravati,Udaipur,Udaipur Express,86751,17:38,Passenger,03:08,13:43,Luxury,621,06-03-2025
Kolhapur,Udaipur,Udaipur Express,86516,05:45,Superfast,22:40,05:32,Economy,945,02-10-2025
Nagpur,Chennai,Chennai Express,82672,10:23,Superfast,16:01,02:52,Economy,503,10-12-2025
Aurangabad,Ahmedabad,Ahmedabad Express,80208,01:27,Express,00:02,05:20,Moderate,826,29-07-2025
Nagpur,Chennai,Chennai Express,81622,01:11,Superfast,10:39,10:31,Economy,640,24-09-2025
Pune,Vadodara,Vadodara Express,87740,04:31,Express,08:15,21:47,Moderate,210,26-05-2025
Thane,Udaipur,Udaipur Express,83553,07:08,Express,19:00,14:31,Luxury,895,13-02-2025
Pune,Chennai,Chennai Express,80968,05:53,Express,23:34,21:38,Economy,352,30-05-2025
Solapur,Udaipur,Udaipur Express,84053,03:41,Express,09:03,16:06,Moderate,949,23-09-2025
Thane,Goa,Goa Express,80192,03:49,Express,06:30,07:30,Moderate,130,30-06-2025
Aurangabad,Vadodara,Vadodara Express,87472,12:27,Express,17:29,10:23,Moderate,763,19-03-2025
Mumbai,Udaipur,Udaipur Express,81538,13:56,Express,02:38,10:21,Moderate,472,12-09-2025
Nashik,Jaipur,Jaipur Express,88813,01:18,Express,03:29,05:11,Economy,107,02-11-2025
Aurangabad,Goa,Goa Express,87888,03:12,Passenger,09:59,15:36,Moderate,918,12-03-2025
Aurangabad,Jaipur,Jaipur Express,85174,12:42,Express,03:48,21:41,Economy,119,01-08-2025
Aurangabad,Udaipur,Udaipur Express,81849,09:20,Express,13:01,19:38,Moderate,341,10-11-2025
Thane,Jaipur,Jaipur Express,85966,19:23,Passenger,05:24,21:29,Economy,404,21-06-2025
Solapur,Jaipur,Jaipur Express,88312,03:26,Passenger,20:20,21:56,Luxury,580,21-12-2025
Pune,Udaipur,Udaipur Express,84932,13:24,Express,13:42,22:52,Moderate,423,02-01-2025
Jalgaon,Hyderabad,Hyderabad Express,83135,03:11,Passenger,04:06,14:34,Economy,580,06-11-2025
Solapur,Goa,Goa Express,82954,07:56,Express,13:04,07:10,Luxury,475,30-01-2025
Thane,Surat,Surat Express,89229,07:21,Superfast,19:57,11:52,Economy,512,19-11-2025
Aurangabad,Jaipur,Jaipur Express,80444,16:45,Passenger,13:02,23:09,Moderate,610,11-08-2025
Amravati,Jaipur,Jaipur Express,86187,17:54,Passenger,18:34,13:36,Luxury,757,28-06-2025
Mumbai,Udaipur,Udaipur Express,85813,05:56,Superfast,14:01,05:36,Moderate,443,27-02-2025
Nashik,Indore,Indore Express,86285,07:43,Passenger,07:59,08:58,Moderate,347,23-10-2025
Amravati,Vadodara,Vadodara Express,87200,12:03,Express,21:53,21:28,Luxury,154,13-09-2025
Thane,Chennai,Chennai Express,80713,07:28,Express,14:33,12:47,Luxury,447,07-07-2025
Amravati,Indore,Indore Express,88179,01:22,Superfast,16:56,13:58,Economy,301,17-09-2025
Pune,Bhopal,Bhopal Express,82700,02:43,Passenger,11:11,05:27,Economy,923,05-02-2025
Solapur,Bhopal,Bhopal Express,87130,18:31,Superfast,03:02,10:52,Economy,190,01-08-2025
Mumbai,Ahmedabad,Ahmedabad Express,83605,15:42,Passenger,20:21,00:21,Luxury,677,25-04-2025
Mumbai,Ahmedabad,Ahmedabad Express,86656,01:54,Express,21:51,02:09,Economy,755,10-11-2025
Amravati,Goa,Goa Express,87288,17:21,Passenger,04:29,09:50,Economy,299,28-06-2025
Amravati,Chennai,Chennai Express,84271,01:21,Passenger,01:45,00:19,Economy,209,19-06-2025
Pune,Udaipur,Udaipur Express,80397,09:52,Passenger,20:15,12:07,Moderate,776,18-02-2025
Aurangabad,Ahmedabad,Ahmedabad Express,87629,03:49,Express,05:46,06:37,Economy,243,10-03-2025
Nagpur,Vadodara,Vadodara Express,82924,04:36,Passenger,16:36,06:01,Economy,585,04-12-2025
Nashik,Surat,Surat Express,89505,03:08,Express,17:45,21:25,Luxury,494,08-12-2025
Kolhapur,Goa,Goa Express,84764,01:24,Express,19:56,14:07,Moderate,633,07-12-2025
Amravati,Bhopal,Bhopal Express,84736,01:46,Passenger,19:26,15:51,Luxury,713,11-04-2025
Thane,Bhopal,Bhopal Express,83924,09:08,Passenger,17:25,14:25,Moderate,175,07-11-2025
Mumbai,Chennai,Chennai Express,80709,06:05,Superfast,06:24,13:35,Luxury,458,09-08-2025
Aurangabad,Indore,Indore Express,83431,19:13,Superfast,22:52,23:18,Luxury,929,01-01-2025
Jalgaon,Bhopal,Bhopal Express,86079,06:40,Passenger,05:01,09:45,Economy,787,08-07-2025
Mumbai,Vadodara,Vadodara Express,81506,08:57,Express,06:08,15:41,Economy,767,26-08-2025
Nagpur,Goa,Goa Express,80591,11:14,Superfast,14:56,03:07,Luxury,175,24-03-2025
Thane,Ahmedabad,Ahmedabad Express,81293,13:55,Superfast,11:36,18:12,Luxury,378,26-07-2025
Nagpur,Surat,Surat Express,87164,01:59,Passenger,17:18,15:22,Moderate,990,08-06-2025
Mumbai,Hyderabad,Hyderabad Express,80536,01:37,Superfast,05:26,17:42,Economy,134,19-01-2025
Amravati,Indore,Indore Express,82364,01:48,Superfast,14:07,00:37,Luxury,659,04-05-2025
Kolhapur,Chennai,Chennai Express,89924,20:45,Express,03:46,09:07,Luxury,626,19-06-2025
Aurangabad,Bhopal,Bhopal Express,87050,07:48,Express,13:07,13:48,Moderate,570,26-09-2025
Aurangabad,Vadodara,Vadodara Express,83208,01:37,Passenger,22:02,01:03,Economy,836,14-07-2025
Mumbai,Hyderabad,Hyderabad Express,85920,12:53,Superfast,23:54,20:50,Luxury,900,15-09-2025
Nagpur,Jaipur,Jaipur Express,89996,13:23,Passenger,11:24,07:01,Moderate,530,25-04-2025
Thane,Surat,Surat Express,82664,08:34,Passenger,21:52,12:01,Moderate,648,13-09-2025
Solapur,Chennai,Chennai Express,85383,04:43,Superfast,14:33,15:35,Moderate,208,04-04-2025
Solapur,Jaipur,Jaipur Express,83096,07:00,Passenger,17:16,04:39,Economy,682,07-09-2025
Jalgaon,Jaipur,Jaipur Express,83423,01:07,Express,12:13,09:22,Economy,612,31-10-2025
Aurangabad,Jaipur,Jaipur Express,82930,14:39,Superfast,04:54,05:35,Luxury,889,29-07-2025
Nashik,Udaipur,Udaipur Express,87629,13:16,Superfast,18:06,23:46,Moderate,410,17-07-2025
Aurangabad,Goa,Goa Express,83361,20:20,Superfast,05:23,21:09,Luxury,849,22-02-2025
Pune,Udaipur,Udaipur Express,87564,02:29,Superfast,17:10,10:38,Moderate,229,17-05-2025
Solapur,Chennai,Chennai Express,82138,18:47,Superfast,12:59,09:02,Moderate,306,11-09-2025
Kolhapur,Ahmedabad,Ahmedabad Express,86933,10:49,Passenger,15:21,09:55,Luxury,407,01-08-2025
Pune,Jaipur,Jaipur Express,81046,10:24,Superfast,15:12,04:19,Moderate,948,07-07-2025
Aurangabad,Vadodara,Vadodara Express,82328,19:16,Passenger,04:22,03:56,Luxury,657,06-12-2025
Jalgaon,Chennai,Chennai Express,80190,03:44,Express,12:31,00:21,Moderate,323,26-01-2025
Pune,Chennai,Chennai Express,81167,18:23,Express,22:12,20:50,Luxury,162,25-12-2025
Aurangabad,Bhopal,Bhopal Express,85214,01:22,Superfast,17:17,12:21,Moderate,527,23-10-2025
Nashik,Vadodara,Vadodara Express,85212,11:49,Passenger,17:05,16:09,Economy,294,24-02-2025
Mumbai,Hyderabad,Hyderabad Express,87366,07:44,Express,01:31,17:11,Luxury,334,13-04-2025
Nashik,Ahmedabad,Ahmedabad Express,85735,01:11,Superfast,21:12,23:11,Moderate,454,20-01-2025
Amravati,Surat,Surat Express,81596,12:20,Superfast,14:52,07:24,Economy,729,01-06-2025
Aurangabad,Goa,Goa Express,82372,08:09,Superfast,07:13,19:20,Moderate,348,07-07-2025
Nagpur,Hyderabad,Hyderabad Express,80441,15:40,Express,00:23,21:43,Economy,989,20-05-2025
Aurangabad,Chennai,Chennai Express,80061,19:27,Express,14:55,18:27,Moderate,926,06-04-2025
Solapur,Indore,Indore Express,88016,02:50,Passenger,20:35,16:16,Luxury,653,18-05-2025
Aurangabad,Udaipur,Udaipur Express,87720,16:50,Passenger,17:22,13:10,Economy,152,24-03-2025
Mumbai,Goa,Goa Express,85404,16:10,Express,08:06,19:21,Economy,529,13-06-2025
Aurangabad,Chennai,Chennai Express,86496,07:10,Passenger,04:30,12:14,Economy,996,03-10-2025
Aurangabad,Jaipur,Jaipur Express,88623,12:21,Passenger,09:23,10:32,Moderate,440,16-05-2025
Thane,Vadodara,Vadodara Express,87712,17:25,Passenger,13:04,14:12,Moderate,125,20-07-2025
Aurangabad,Vadodara,Vadodara Express,88928,20:00,Express,22:20,15:48,Moderate,450,03-02-2025
Nashik,Vadodara,Vadodara Express,83751,13:40,Express,19:32,06:13,Luxury,791,28-02-2025
Nagpur,Surat,Surat Express,85525,16:30,Passenger,16:07,11:37,Economy,724,28-06-2025
Solapur,Bhopal,Bhopal Express,88009,03:41,Superfast,00:55,01:30,Moderate,676,10-02-2025
Pune,Surat,Surat Express,82282,13:48,Express,09:13,12:13,Moderate,695,08-10-2025
Nashik,Hyderabad,Hyderabad Express,88697,05:32,Passenger,18:53,13:39,Moderate,862,09-02-2025
Mumbai,Bhopal,Bhopal Express,85760,01:43,Express,00:11,17:26,Moderate,742,30-08-2025
Nashik,Hyderabad,Hyderabad Express,84013,02:11,Superfast,18:23,14:42,Luxury,856,20-12-2025
Kolhapur,Vadodara,Vadodara Express,80536,03:09,Passenger,05:25,03:41,Economy,171,13-11-2025
Nashik,Ahmedabad,Ahmedabad Express,86395,15:15,Express,19:48,14:54,Moderate,294,21-10-2025
Nagpur,Hyderabad,Hyderabad Express,84790,19:44,Superfast,13:04,20:46,Moderate,855,11-12-2025
